trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
DP0001,1,0;190;42;1075;162;278;274;12;77;1016;0,08:44,17:25,191285,2295.42,100,7.2,200,2602.62,2
DP0002,1,0;288;14;232;88;71;44;66;1061;212;1015;0,09:22,16:54,122950,1475.4,100,0.0,200,1775.4,2
DP0003,2,0;188;240;15;1057;140;218;116;322;1070;1019;0,08:24,17:07,153975,2155.65,150,13.2,300,2618.85,3
DP0004,1,0;194;70;302;1009;210;242;96;76;1036;0,08:00,17:01,178319,2139.83,100,21.2,200,2461.03,2
DP0005,2,0;272;251;81;1084;255;99;1022;283;1017;0,08:17,15:18,121329,1698.61,150,0.0,300,2148.61,3
DP0006,1,0;324;321;183;34;69;222;1050;0,10:28,16:47,137623,1651.48,50,0.0,200,1901.48,1
DP0007,1,0;327;256;215;56;1031;53;130;307;0,08:09,15:30,142885,1714.62,50,10.4,200,1975.02,1
DP0008,1,0;281;92;216;64;29;304;0,09:48,15:19,83999,1007.99,0,19.2,200,1227.19,0
DP0009,1,0;294;303;72;1033;206;236;108;90;74;1034;0,08:46,17:13,168128,2017.54,100,0.8,200,2318.34,2
DP0010,1,0;198;52;192;1089;300;3;241;55;1098;0,08:33,16:45,181338,2176.06,100,0.0,200,2476.06,2
DP0011,1,0;128;1028;246;275;187;301;114;141;0,09:07,15:37,115721,1388.65,50,2.8,200,1641.45,1
DP0012,1,0;244;132;1093;156;245;1011;221;1099;0,08:00,15:37,176497,2117.96,150,0.0,200,2467.96,3
DP0013,1,0;31;273;1091;186;204;181;314;229;0,08:48,15:18,121703,1460.44,50,0.0,200,1710.44,1
DP0014,1,0;45;328;282;214;85;1014;41;259;191;276;1067;0,08:29,17:06,126150,1513.8,100,12.0,200,1825.8,2
DP0015,1,0;254;36;97;32;265;10;1024;125;1013;0,09:19,16:41,120341,1444.09,100,8.8,200,1752.89,2
DP0016,1,0;291;7;133;40;217;93;33;136;1012;0,09:08,16:00,104601,1255.21,50,4.4,200,1509.61,1
DP0017,2,0;233;1026;332;142;316;155;325;68;1088;87;1037;0,08:24,17:33,179623,2514.72,150,0.0,300,2964.72,3
DP0018,1,0;134;131;249;1029;326;152;1020;305;1051;0,08:18,16:53,150948,1811.38,150,22.8,200,2184.18,3
DP0019,1,0;102;277;123;73;1041;263;297;112;1054;0,08:26,16:12,149276,1791.31,100,5.2,200,2096.51,2
DP0020,1,0;1038;145;1044;290;1090;82;119;1094;28;1080;0,08:00,16:52,148157,1777.88,250,20.0,200,2247.88,5
DP0021,2,0;109;137;196;1047;331;317;1062;165;1095;0,08:13,16:17,152183,2130.56,150,10.4,300,2590.96,3
DP0022,1,0;153;207;329;168;78;1078;23;182;293;1055;0,08:33,16:28,129010,1548.12,100,6.0,200,1854.12,2
DP0023,1,0;61;262;213;1;1039;209;49;46;1081;0,08:28,16:53,168145,2017.74,100,11.2,200,2328.94,2
DP0024,2,0;101;126;296;25;1006;172;1073;211;1059;0,08:34,15:58,140970,1973.58,150,0.0,300,2423.58,3
DP0025,1,0;113;238;100;6;89;1060;86;1086;0,08:36,16:50,146639,1759.67,100,29.2,200,2088.87,2
DP0026,1,0;129;312;21;239;1074;110;260;139;1008;0,08:00,16:39,194347,2332.16,100,3.6,200,2635.76,2
DP0027,1,0;144;271;1065;150;1023;289;309;200;1032;0,08:43,16:06,139360,1672.32,150,0.0,200,2022.32,3
DP0028,1,0;111;185;179;1083;51;19;13;1077;0,08:00,16:19,202864,2434.37,100,4.8,200,2739.17,2
DP0029,1,0;174;143;26;39;1010;235;65;295;83;1082;0,08:00,17:25,195964,2351.57,100,9.6,200,2661.17,2
DP0030,1,0;247;59;1066;1018;279;63;248;0,08:48,14:40,115914,1390.97,100,0.0,200,1690.97,2
DP0031,2,0;120;234;258;1058;173;91;1048;269;1030;0,08:00,16:15,182208,2550.91,150,0.0,300,3000.91,3
DP0032,2,0;184;67;285;1100;11;80;0,08:03,15:38,181705,2543.87,50,21.2,300,2915.07,1
DP0033,1,0;224;115;1002;159;225;280;299;104;1005;0,08:03,16:55,170259,2043.11,100,21.2,200,2364.31,2
DP0034,1,0;167;313;1087;118;151;178;330;95;323;1079;0,08:19,16:43,149705,1796.46,100,7.6,200,2104.06,2
DP0035,1,0;189;175;1068;197;1040;252;219;146;1004;0,08:40,17:21,204044,2448.53,150,0.0,200,2798.53,3
DP0036,1,0;103;20;1056;306;228;105;308;298;135;1064;0,08:00,16:40,179424,2153.09,100,0.0,200,2453.09,2
DP0037,1,0;261;16;147;1045;50;315;270;75;201;1097;0,08:00,17:27,197597,2371.16,100,10.0,200,2681.16,2
DP0038,1,0;157;243;22;5;267;1025;169;127;24;1049;0,08:24,17:01,176815,2121.78,100,0.0,200,2421.78,2
DP0039,1,0;220;170;1072;161;124;230;0,08:51,15:11,69415,832.98,50,45.2,200,1128.18,1
DP0040,1,0;227;203;62;121;1007;48;231;138;1071;0,08:00,16:41,186240,2234.88,100,8.8,200,2543.68,2
DP0041,2,0;250;266;310;226;199;177;160;1076;287;1003;0,08:39,16:31,139580,1954.12,100,0.0,300,2354.12,2
DP0042,1,0;18;1042;60;117;286;202;1052;27;1096;0,08:52,16:37,156699,1880.39,150,0.8,200,2231.19,3
DP0043,2,0;9;17;54;107;319;164;94;257;0,08:34,14:57,99973,1399.62,0,7.2,300,1706.82,0
DP0044,1,0;58;30;35;253;122;1053;195;205;0,08:33,15:39,141549,1698.59,50,4.8,200,1953.39,1
DP0045,2,0;149;320;1001;176;268;333;2;223;166;1043;0,08:16,16:34,158589,2220.25,100,0.0,300,2620.25,2
DP0046,1,0;57;84;79;1035;292;38;208;311;1069;0,09:17,16:48,121869,1462.43,100,12.0,200,1774.43,2
DP0047,1,0;264;193;1092;163;47;148;0,10:37,15:47,101745,1220.94,50,1.6,200,1472.54,1
DP0048,1,0;4;237;158;284;106;1063;171;43;8;0,08:43,15:12,93102,1117.22,50,0.8,200,1368.02,1
DP0049,1,0;1021;98;318;1085;1027;0,08:00,14:17,128778,1545.34,150,28.0,200,1923.34,3
DP0050,2,0;37;154;1046;180;0,10:45,13:46,49016,686.22,50,0.0,300,1036.22,1
DP0051,1,0;410;384;507;358;1002;547;506;1084;0,08:24,16:34,169235,2030.82,100,17.2,200,2348.02,2
DP0052,1,0;405;390;540;537;1074;552;451;1042;0,08:00,15:46,175468,2105.62,100,3.6,200,2409.22,2
DP0053,1,0;403;422;1007;343;1039;350;1089;375;1073;0,08:20,16:50,195883,2350.6,200,0.0,200,2750.6,4
DP0054,1,0;444;474;1010;421;337;521;395;491;1021;0,08:09,17:14,209508,2514.1,100,6.8,200,2820.9,2
DP0055,1,0;473;1059;426;1058;1078;513;1022;0,08:37,14:37,105385,1264.62,200,8.4,200,1673.02,4
DP0056,1,0;529;335;351;1091;455;1067;356;0,09:04,15:29,99213,1190.56,100,21.2,200,1511.76,2
DP0057,1,0;555;377;448;1029;526;499;1020;339;1062;0,09:11,17:04,153250,1839.0,150,6.0,200,2195.0,3
DP0058,1,0;347;1009;424;452;519;363;378;1082;0,08:00,15:53,188897,2266.76,100,0.0,200,2566.76,2
DP0059,1,0;518;336;1085;1004;493;396;438;360;508;1043;0,08:28,16:12,131326,1575.91,150,0.0,200,1925.91,3
DP0060,1,0;456;392;385;1075;427;443;362;461;480;1019;0,08:29,17:12,170042,2040.5,100,5.6,200,2346.1,2
DP0061,1,0;364;409;416;467;1071;496;382;1081;1026;0,08:41,16:40,169570,2034.84,150,0.0,200,2384.84,3
DP0062,1,0;534;488;341;1080;481;509;1090;436;1052;0,08:13,17:21,140692,1688.3,150,42.4,200,2080.7,3
DP0063,1,0;458;449;517;549;1068;486;367;372;412;1087;0,08:17,17:01,172516,2070.19,100,4.8,200,2374.99,2
DP0064,1,0;497;402;370;1053;528;353;344;1100;415;346;1094;0,08:25,17:27,171687,2060.24,150,0.0,200,2410.24,3
DP0065,1,0;366;492;413;523;1098;479;477;1013;0,09:20,16:30,155685,1868.22,100,0.0,200,2168.22,2
DP0066,1,0;514;355;1056;361;1031;439;433;1040;0,08:38,16:51,206676,2480.11,150,0.0,200,2830.11,3
DP0067,1,0;374;1047;522;1070;432;1057;376;515;536;1050;0,08:07,16:40,173425,2081.1,200,0.0,200,2481.1,4
DP0068,1,0;462;1030;389;441;446;1015;495;512;397;1046;0,08:44,15:49,98744,1184.93,150,0.0,200,1534.93,3
DP0069,1,0;428;340;485;1001;490;398;0,09:09,14:55,135607,1627.28,50,0.0,200,1877.28,1
DP0070,1,0;483;379;533;388;1045;527;469;371;551;1011;0,08:23,17:29,194667,2336.0,100,2.4,200,2638.4,2
DP0071,2,0;460;487;500;1083;359;431;386;1006;0,08:04,16:47,182520,2555.28,100,23.6,300,2978.88,2
DP0072,1,0;1014;466;1024;470;535;0,08:00,14:14,94153,1129.84,100,43.2,200,1473.04,2
DP0073,1,0;542;1095;445;387;1025;530;1003;0,09:02,15:24,133125,1597.5,150,3.2,200,1950.7,3
DP0074,1,0;453;407;1099;447;1034;365;546;1018;516;1048;0,08:18,16:51,161287,1935.44,200,5.6,200,2341.04,4
DP0075,1,0;429;502;1036;484;1064;401;1023;525;0,08:49,16:08,161228,1934.74,150,0.0,200,2284.74,3
DP0076,1,0;430;1038;334;1060;417;550;510;475;1096;0,08:53,16:31,111856,1342.27,150,20.0,200,1712.27,3
DP0077,1,0;464;1033;482;450;1097;465;406;1005;434;1063;0,08:31,16:52,161877,1942.52,200,0.0,200,2342.52,4
DP0078,1,0;511;420;554;1076;471;556;373;1051;0,09:24,16:33,146542,1758.5,100,3.6,200,2062.1,2
DP0079,1,0;478;404;1027;1092;1066;472;0,09:13,14:11,95916,1150.99,150,0.0,200,1500.99,3
DP0080,1,0;400;399;1044;393;348;1088;494;1035;0,09:09,16:04,141188,1694.26,150,0.0,200,2044.26,3
DP0081,1,0;463;418;425;435;1069;457;1079;0,09:19,15:47,126303,1515.64,100,8.4,200,1824.04,2
DP0082,1,0;368;1041;357;498;548;1016;503;381;505;1093;0,08:01,16:48,183256,2199.07,150,0.8,200,2549.87,3
DP0083,1,0;541;531;543;437;345;1037;476;1012;0,09:34,15:48,101456,1217.47,100,3.2,200,1520.67,2
DP0084,1,0;369;411;1054;419;414;1077;342;383;545;1065;0,08:57,17:08,154808,1857.7,150,0.0,200,2207.7,3
DP0085,1,0;349;1086;0,09:32,11:34,49825,597.9,50,0.0,200,847.9,1
DP0086,1,0;553;1072;442;489;440;391;352;1028;504;0,08:54,16:09,100579,1206.95,100,15.6,200,1522.55,2
DP0087,1,0;408;539;354;459;544;532;1049;520;0,09:18,15:19,92326,1107.91,50,2.0,200,1359.91,1
DP0088,1,0;538;394;1061;524;1055;454;0,08:30,13:23,93033,1116.4,100,0.0,200,1416.4,2
DP0089,1,0;501;338;1032;468;1008;380;423;1017;0,09:11,14:54,81215,974.58,150,0.0,200,1324.58,3
DP0090,1,0;697;773;1082;636;1053;560;737;1065;607;1022;0,08:50,17:17,167847,2014.16,200,0.0,200,2414.16,4
DP0091,1,0;622;613;674;1068;687;614;569;772;1095;0,08:12,16:22,178813,2145.76,100,0.0,200,2445.76,2
DP0092,2,0;565;1071;745;1051;0,08:39,13:32,106974,1497.64,100,16.8,300,1914.44,2
DP0093,1,0;646;1040;683;778;628;724;662;1067;0,08:26,16:11,140347,1684.16,100,20.8,200,2004.96,2
DP0094,1,0;717;710;749;1012;561;652;0,10:44,15:06,66173,794.08,50,0.0,200,1044.08,1
DP0095,1,0;751;1026;673;752;723;1033;711;630;1037;0,08:23,16:24,171932,2063.18,150,0.0,200,2413.18,3
DP0096,2,0;603;657;703;1058;705;1034;679;1086;0,09:02,15:59,110775,1550.85,150,16.4,300,2017.25,3
DP0097,1,0;688;658;775;1083;589;579;713;1031;619;1011;0,08:00,17:18,210421,2525.05,150,0.0,200,2875.05,3
DP0098,1,0;631;766;736;1045;572;702;739;617;1016;0,08:00,17:22,183646,2203.75,100,26.8,200,2530.55,2
DP0099,1,0;1066;642;621;1099;750;753;1055;0,08:00,15:31,120173,1442.08,150,37.2,200,1829.28,3
DP0100,1,0;730;1087;720;1004;700;721;678;1008;0,08:14,15:14,145519,1746.23,150,0.0,200,2096.23,3
DP0101,1,0;744;649;729;1089;583;1007;731;584;594;1056;0,08:09,17:31,202491,2429.89,150,5.6,200,2785.49,3
DP0102,1,0;738;695;1078;659;1027;740;1077;0,09:05,15:30,122891,1474.69,150,9.6,200,1834.29,3
DP0103,1,0;763;610;660;1036;735;676;661;1061;692;1015;0,08:42,16:39,144222,1730.66,150,0.0,200,2080.66,3
