trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
DP0001,1,0;1086;863;807;0,08:00,13:54,50639,607.67,50,80.40,200,938.07,1
DP0002,1,0;850;780;1089;836;888;869;889;1051;0,08:34,17:55,216831,2601.97,100,22.80,200,2924.77,2
DP0003,2,0;788;1029;828;887;1100;879;864;1068;0,08:02,16:17,208782,2922.95,150,0.00,300,3372.95,3
DP0004,2,0;802;849;834;832;1060;857;785;1067;0,08:48,16:31,182463,2554.48,100,0.00,300,2954.48,2
DP0005,1,0;804;1039;0,08:00,11:42,133803,1605.64,50,0.00,200,1855.64,1
DP0006,1,0;801;809;839;1040;818;812;1018;0,09:50,17:23,186943,2243.32,100,6.00,200,2549.32,2
DP0007,2,0;794;874;1025;867;1001;786;1009;883;1069;0,08:53,16:47,165594,2318.32,200,0.00,300,2818.32,4
DP0008,1,0;797;1014;814;840;1078;876;810;784;1037;1055;0,08:48,17:39,181511,2178.13,200,3.20,200,2581.33,4
DP0009,2,0;886;1074;851;1007;833;1083;822;882;1004;0,08:00,17:08,227093,3179.30,200,0.00,300,3679.30,4
DP0010,1,0;868;1015;846;1016;823;789;848;799;1012;0,09:06,16:50,155293,1863.52,150,1.20,200,2214.72,3
DP0011,1,0;792;821;878;1002;1010;787;795;829;845;1045;0,08:11,17:59,235150,2821.80,150,0.00,200,3171.80,3
DP0012,2,0;782;871;805;1095;842;877;881;880;1098;0,08:17,17:35,235264,3293.70,100,0.00,300,3693.70,2
DP0013,2,0;841;826;831;1096;855;808;803;1061;0,09:10,15:29,112455,1574.37,100,0.00,300,1974.37,2
DP0014,2,0;853;825;884;1050;824;885;1079;0,08:09,16:12,156913,2196.78,100,32.00,300,2628.78,2
DP0015,1,0;865;820;866;806;800;844;791;1032;0,09:14,15:34,113946,1367.35,50,0.00,200,1617.35,1
DP0016,1,0;843;817;872;1070;811;1047;847;1020;0,09:46,17:12,161238,1934.86,150,3.20,200,2288.06,3
DP0017,1,0;862;1005;870;860;859;1042;861;1026;835;837;1019;0,08:13,17:09,168069,2016.83,200,0.00,200,2416.83,4
DP0018,1,0;796;854;827;1056;858;1087;779;1081;0,08:28,16:59,187873,2254.48,150,16.80,200,2621.28,3
DP0019,1,0;1072;1013;0,08:00,10:08,55558,666.70,100,0.00,200,966.70,2
DP0020,1,0;816;830;819;781;1044;873;1052;815;1028;0,08:37,16:12,151579,1818.95,150,0.00,200,2168.95,3
DP0021,1,0;813;856;1008;798;783;875;838;1099;852;1022;0,08:43,16:56,156077,1872.92,150,0.00,200,2222.92,3
DP0022,2,0;790;793;1049;0,12:49,15:16,46822,655.51,50,0.00,300,1005.51,1
