trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
DP0001,1,0;728;690;916;1056;691;962;739;984;905;895;1027;0,08:09,17:21,182172,2186.06,100,0.00,200,2486.06,2
DP0002,2,0;863;1055;907;796;840;848;1099;929;1048;0,08:34,16:04,112609,1576.53,150,16.00,300,2042.53,3
DP0003,1,0;982;827;703;1058;854;1085;724;980;919;0,08:07,15:33,143255,1719.06,100,0.00,200,2019.06,2
DP0004,2,0;856;682;826;759;808;714;0,08:46,13:52,88471,1238.59,0,6.40,300,1544.99,0
DP0005,1,0;956;1074;987;762;1089;696;896;704;675;1014;0,08:00,17:04,194410,2332.92,150,2.80,200,2685.72,3
DP0006,1,0;746;775;946;1053;706;679;799;0,08:48,16:04,165044,1980.53,50,10.00,200,2240.53,1
DP0007,2,0;996;1081;729;769;711;936;994;824;1090;0,08:25,17:15,190517,2667.24,100,10.40,300,3077.64,2
DP0008,1,0;938;870;797;805;735;1082;758;948;1084;784;1012;0,08:18,16:39,138087,1657.04,150,0.80,200,2007.84,3
DP0009,2,0;1040;917;0,08:00,12:22,93288,1306.03,50,35.60,300,1691.63,1
DP0010,1,0;999;768;733;1077;705;969;852;1017;0,08:19,16:04,160437,1925.24,100,11.20,200,2236.44,2
DP0011,2,0;963;822;882;1024;0,09:48,16:31,146768,2054.75,50,42.40,300,2447.15,1
DP0012,1,0;841;1037;814;977;685;1071;818;960;0,09:10,15:35,113905,1366.86,100,1.60,200,1668.46,2
DP0013,1,0;670;849;1036;726;1054;669;944;761;1091;0,08:39,16:25,157256,1887.07,150,0.40,200,2237.47,3
DP0014,2,0;886;804;736;702;713;829;0,08:00,16:07,169303,2370.24,0,39.60,300,2709.84,0
DP0015,1,0;893;926;968;833;1007;836;731;1083;888;1033;0,08:00,17:45,212835,2554.02,150,9.60,200,2913.62,3
DP0016,1,0;816;868;910;939;806;897;1043;742;0,08:37,15:12,94489,1133.87,50,15.20,200,1399.07,1
DP0017,1,0;782;997;697;778;1060;800;877;990;815;1049;0,08:17,16:32,130641,1567.69,100,13.60,200,1881.29,2
DP0018,1,0;958;780;985;1010;708;957;869;889;1100;0,08:00,17:59,201799,2421.59,100,32.80,200,2754.39,2
DP0019,1,0;744;1087;839;966;860;842;937;779;1032;0,08:09,16:12,147965,1775.58,100,12.80,200,2088.38,2
DP0020,1,0;911;955;817;1079;902;757;776;732;0,08:39,15:52,111725,1340.70,50,22.00,200,1612.70,1
DP0021,2,0;755;764;930;771;1038;844;791;964;807;1086;0,08:18,16:41,126368,1769.15,100,18.40,300,2187.55,2
DP0022,1,0;927;720;743;959;1006;740;1016;789;1078;0,08:11,16:50,172651,2071.81,150,14.80,200,2436.61,3
DP0023,1,0;722;981;878;900;859;672;0,08:07,14:15,134447,1613.36,0,9.60,200,1822.96,0
DP0024,1,0;821;933;1039;766;1045;774;787;858;1031;0,08:17,16:48,195636,2347.63,150,0.40,200,2698.03,3
DP0025,2,0;865;820;741;721;861;971;970;923;0,09:14,15:29,108528,1519.39,0,0.00,300,1819.39,0
DP0026,1,0;831;871;850;922;783;700;945;677;810;0,08:39,15:12,98477,1181.72,0,0.00,200,1381.72,0
DP0027,1,0;931;688;851;1009;935;737;993;857;1066;0,08:00,16:55,207020,2484.24,100,4.80,200,2789.04,2
DP0028,1,0;770;998;1070;978;1001;913;1068;915;1005;0,08:00,17:04,203169,2438.03,200,10.80,200,2848.83,4
DP0029,2,0;777;1057;712;710;717;932;0,08:50,14:03,107752,1508.53,50,0.00,300,1858.53,1
DP0030,1,0;751;1047;872;681;1062;811;928;847;1019;0,08:23,16:51,150854,1810.25,150,20.40,200,2180.65,3
DP0031,1,0;887;825;884;867;972;1000;765;1050;772;1076;0,08:19,17:05,158790,1905.48,100,11.60,200,2217.08,2
DP0032,1,0;830;719;723;671;1002;879;952;961;883;1044;0,08:16,17:19,179262,2151.14,100,9.20,200,2460.34,2
DP0033,2,0;809;950;819;730;683;1080;965;909;0,08:26,14:54,120640,1688.96,50,0.00,300,2038.96,1
DP0034,2,0;903;986;988;1004;912;881;918;1064;0,08:09,16:41,137757,1928.60,100,41.20,300,2369.80,2
DP0035,1,0;738;934;991;1018;921;876;1034;750;692;1015;0,09:05,16:58,140282,1683.38,150,0.00,200,2033.38,3
DP0036,2,0;1011;832;718;753;906;0,08:00,16:01,113907,1594.70,50,76.40,300,2021.10,1
DP0037,1,0;953;1041;698;760;834;1093;795;890;845;1073;0,08:00,17:01,186140,2233.68,150,4.80,200,2588.48,3
DP0038,2,0;673;1094;891;1042;745;694;678;0,08:54,15:11,125259,1753.63,100,5.20,300,2158.83,2
DP0039,1,0;699;773;1097;901;1092;676;949;1030;0,08:26,15:44,162938,1955.26,150,0.00,200,2305.26,3
DP0040,1,0;802;843;767;1072;954;855;1046;0,08:48,14:27,86190,1034.28,100,8.80,200,1343.08,2
DP0041,1,0;680;973;734;709;885;0,10:55,15:34,97427,1169.12,0,3.60,200,1372.72,0
DP0042,1,0;862;747;674;1098;725;1025;864;942;1067;0,08:13,16:24,177623,2131.48,150,1.60,200,2483.08,3
DP0043,2,0;846;1061;803;1022;785;0,10:37,15:29,88915,1244.81,100,12.80,300,1657.61,2
DP0044,1,0;813;763;947;974;716;689;749;0,08:43,13:41,66299,795.59,0,1.20,200,996.79,0
DP0045,2,0;756;794;686;1021;727;748;1008;0,08:54,15:28,122249,1711.49,100,13.60,300,2125.09,2
DP0046,2,0;1023;894;976;1075;875;983;1065;0,08:00,15:03,128237,1795.32,150,22.00,300,2267.32,3
DP0047,2,0;899;1063;792;786;995;920;835;1026;0,08:38,17:02,132156,1850.18,100,40.40,300,2290.58,2
DP0048,1,0;925;1088;979;812;668;1035;0,08:32,16:53,128617,1543.40,100,65.20,200,1908.60,2
DP0049,1,0;781;1051;828;1003;701;904;1069;0,08:23,15:25,133091,1597.09,150,19.20,200,1966.29,3
DP0050,2,0;715;866;707;992;798;790;0,09:32,14:18,86311,1208.35,0,0.00,300,1508.35,0
DP0051,2,0;989;943;941;1052;873;880;940;967;0,08:25,16:15,124686,1745.60,50,30.40,300,2126.00,1
DP0052,2,0;695;914;823;908;951;838;898;1059;0,08:50,15:49,145613,2038.58,50,0.00,300,2388.58,1
DP0053,1,0;684;788;1029;687;892;1020;837;0,08:01,16:15,204089,2449.07,100,14.00,200,2763.07,2
DP0054,1,0;853;924;874;1095;752;1028;0,08:09,14:08,145076,1740.91,100,0.80,200,2041.71,2
DP0055,1,0;801;754;693;975;1096;793;0,09:50,14:10,63475,761.70,50,0.00,200,1011.70,1
