trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
DP0001,1,0;5;139;219;241;1098;0,10:05,16:33,143205,1718.46,50,25.6,200,1994.06,1
DP0002,1,0;243;1068;312;21;121;252;299;169;1085;0,08:04,16:38,187672,2252.06,100,5.2,200,2557.26,2
DP0003,1,0;109;22;316;176;155;1029;152;305;68;1088;0,08:13,17:08,174895,2098.74,100,8.4,200,2407.14,2
DP0004,1,0;4;157;142;183;1047;317;1020;322;178;1079;0,08:43,17:12,168298,2019.58,150,0.0,200,2369.58,3
DP0005,1,0;128;17;324;199;1080;119;28;1044;223;1032;0,09:07,16:40,120658,1447.9,150,1.2,200,1799.1,3
DP0006,1,0;20;256;1036;172;318;83;195;1027;0,08:00,15:44,178486,2141.83,100,2.0,200,2443.83,2
DP0007,1,0;111;185;1053;56;295;112;1086;0,08:00,16:23,182556,2190.67,100,27.6,200,2518.27,2
DP0008,1,0;250;158;1013;204;99;264;43;229;0,08:39,14:56,88120,1057.44,50,10.8,200,1318.24,1
DP0009,1,0;284;133;246;2;200;205;0,10:39,15:47,83452,1001.42,0,9.6,200,1211.02,0
DP0010,1,0;103;16;262;50;1083;235;274;65;1093;0,08:00,16:54,191471,2297.65,100,10.8,200,2608.45,2
DP0011,1,0;313;81;35;1041;122;289;1073;191;1014;0,08:14,16:28,166686,2000.23,150,7.6,200,2357.83,3
DP0012,1,0;102;277;123;73;156;1011;130;307;0,08:26,15:10,132258,1587.1,50,0.0,200,1837.1,1
DP0013,2,0;237;62;213;228;1081;108;301;1005;0,08:35,16:32,188250,2635.5,100,2.8,300,3038.3,2
DP0014,1,0;254;1008;101;40;267;69;165;1026;0,09:19,15:55,125941,1511.29,100,0.0,200,1811.29,2
DP0015,2,0;174;306;132;278;162;1056;298;135;1037;0,08:00,16:18,174343,2440.8,100,5.6,300,2846.4,2
DP0016,1,0;203;115;100;197;1007;300;13;260;138;1025;0,08:00,17:22,203794,2445.53,100,5.2,200,2750.73,2
DP0017,1,0;36;186;236;160;1069;311;1003;0,09:34,16:05,135774,1629.29,100,5.6,200,1934.89,2
DP0018,1,0;251;25;1;105;1033;280;55;125;1023;0,08:45,17:18,198493,2381.92,100,0.0,200,2681.92,2
DP0019,1,0;215;147;26;39;1045;19;270;231;87;1051;0,08:22,17:24,197518,2370.22,100,0.8,200,2671.02,2
DP0020,1,0;98;143;179;51;1010;315;1075;86;1064;0,08:03,16:37,190964,2291.57,150,4.0,200,2645.57,3
DP0021,2,0;107;321;177;80;1057;287;1019;0,10:37,16:19,106489,1490.85,100,0.0,300,1890.85,2
DP0022,1,0;194;67;258;1039;308;1100;49;76;146;90;1059;0,08:00,17:32,196684,2360.21,150,0.0,200,2710.21,3
DP0023,2,0;37;1046;154;283;230;1017;0,10:45,14:59,53986,755.8,100,2.4,300,1158.2,2
DP0024,1,0;233;175;240;1062;134;34;1076;24;1095;0,08:24,16:06,156253,1875.04,150,0.0,200,2225.04,3
DP0025,1,0;58;1084;30;273;193;1077;221;91;293;1055;0,08:33,16:35,134652,1615.82,150,6.4,200,1972.22,3
DP0026,1,0;153;329;207;168;78;71;1099;23;47;1048;0,08:33,16:13,128937,1547.24,100,0.0,200,1847.24,2
DP0027,2,0;291;282;145;32;85;314;181;1071;265;1067;0,09:08,17:20,156036,2184.5,100,0.0,300,2584.5,2
DP0028,1,0;9;266;18;226;118;217;93;41;259;1043;0,08:34,16:03,118269,1419.23,50,0.0,200,1669.23,1
DP0029,2,0;244;261;190;253;1031;263;53;1066;1092;0,08:00,16:16,183873,2574.22,150,0.0,300,3024.22,3
DP0030,1,0;113;1065;59;255;279;63;248;1030;148;0,08:36,15:42,123449,1481.39,100,0.8,200,1782.19,2
DP0031,1,0;45;1021;286;239;192;77;12;1074;1006;0,08:29,17:24,204733,2456.8,150,6.0,200,2812.8,3
DP0032,1,0;224;129;52;159;285;206;1002;209;75;1087;0,08:03,16:36,172053,2064.64,100,0.0,200,2364.64,2
DP0033,1,0;332;238;198;60;303;201;1097;211;104;1094;0,08:15,17:16,175449,2105.39,100,9.6,200,2414.99,2
DP0034,2,0;1024;296;1040;6;89;1090;0,08:00,15:33,116564,1631.9,150,52.0,300,2133.9,3
DP0035,1,0;281;92;216;94;304;8;0,09:48,15:42,70764,849.17,0,34.4,200,1083.57,0
DP0036,2,0;7;328;310;268;333;1001;222;166;11;1028;0,08:36,16:52,148223,2075.12,100,4.8,300,2479.92,2
DP0037,2,0;189;188;84;79;292;38;330;257;0,08:40,15:25,107359,1503.03,0,12.4,300,1815.43,0
DP0038,1,0;327;1058;271;144;245;1016;297;1054;74;1091;0,08:09,16:57,173182,2078.18,200,5.6,200,2483.78,4
DP0039,1,0;120;70;302;48;1089;110;3;96;242;1034;0,08:00,17:22,202285,2427.42,100,6.0,200,2733.42,2
DP0040,1,0;126;1038;320;1052;187;127;1042;46;309;1022;0,08:46,17:25,178131,2137.57,200,0.0,200,2537.57,4
DP0041,1,0;1050;137;326;325;331;116;0,08:00,14:40,139752,1677.02,50,19.6,200,1946.62,1
DP0042,1,0;288;14;232;88;1061;66;182;44;1018;0,09:22,16:41,134128,1609.54,100,1.2,200,1910.74,2
DP0043,1,0;57;54;1049;64;106;1063;29;136;276;1096;0,09:17,16:30,106498,1277.98,150,0.0,200,1627.98,3
DP0044,1,0;247;42;31;150;173;1078;163;269;212;1015;0,08:48,17:00,155019,1860.23,100,0.0,200,2160.23,2
DP0045,1,0;220;170;319;180;161;1072;0,08:51,14:20,54818,657.82,50,31.6,200,939.42,1
DP0046,2,0;184;234;72;210;1004;10;33;141;0,08:03,15:42,169189,2368.65,50,4.8,300,2723.45,1
DP0047,1,0;196;131;1070;249;15;140;218;323;95;208;1035;0,08:04,16:44,155215,1862.58,100,0.0,200,2162.58,2
DP0048,1,0;149;117;227;1009;225;82;202;27;114;1012;0,08:16,16:44,166530,1998.36,100,0.8,200,2299.16,2
DP0049,2,0;272;1060;294;97;275;151;164;0,08:17,14:09,109853,1537.94,50,2.4,300,1890.34,1
DP0050,1,0;167;61;1082;214;290;171;124;0,08:19,14:44,141571,1698.85,50,0.0,200,1948.85,1
DP0051,1,0;565;419;370;466;465;1005;479;630;436;1063;0,08:39,16:43,149088,1789.06,100,0.0,200,2089.06,2
DP0052,2,0;422;424;583;343;1033;362;581;1080;0,08:16,16:12,183343,2566.8,100,4.8,300,2971.6,2
DP0053,1,0;605;411;404;615;651;560;1031;617;503;0,08:47,16:34,159852,1918.22,50,0.0,200,2168.22,1
DP0054,2,0;500;474;540;421;1010;359;431;579;1093;0,08:00,16:54,216160,3026.24,100,0.0,300,3426.24,2
DP0055,1,0;1038;492;1052;664;393;457;1025;339;1088;0,08:00,16:44,157685,1892.22,200,24.4,200,2316.62,4
DP0056,1,0;606;482;1097;358;427;639;588;1054;0,08:33,16:16,181704,2180.45,100,0.0,200,2480.45,2
DP0057,2,0;441;666;538;1015;608;513;1055;0,09:33,14:54,89342,1250.79,100,0.0,300,1650.79,2
DP0058,1,0;529;369;351;1065;414;1092;607;1077;342;1066;0,09:04,16:59,137158,1645.9,200,2.0,200,2047.9,4
DP0059,2,0;448;653;634;445;348;485;1090;476;0,08:07,15:14,151608,2122.51,50,0.0,300,2472.51,1
DP0060,1,0;625;483;379;533;388;1083;527;469;551;585;1091;0,08:04,17:32,192634,2311.61,100,0.0,200,2611.61,2
DP0061,2,0;467;597;486;618;1044;509;438;1028;0,08:41,16:13,149120,2087.68,100,11.6,300,2499.28,2
DP0062,1,0;534;1068;390;658;614;375;599;378;491;1004;0,08:13,17:08,185570,2226.84,100,2.8,200,2529.64,2
DP0063,2,0;562;643;1026;544;1049;532;0,08:27,13:57,122252,1711.53,100,0.0,300,2111.53,2
DP0064,1,0;336;1059;578;661;516;1022;0,08:59,15:54,98707,1184.48,100,45.6,200,1530.08,2
DP0065,2,0;473;609;603;335;349;524;1064;1067;510;0,08:37,15:10,93600,1310.4,100,2.0,300,1712.4,2
DP0066,1,0;631;355;589;633;1056;344;506;587;1085;0,08:00,16:38,180296,2163.55,100,10.0,200,2473.55,2
DP0067,1,0;462;514;357;498;548;619;1075;558;1058;0,08:44,16:27,154700,1856.4,100,0.8,200,2157.2,2
DP0068,1,0;1030;580;495;512;397;1046;0,08:00,15:14,75949,911.39,100,63.2,200,1274.59,2
DP0069,1,0;408;366;430;531;470;423;0,09:18,14:11,91004,1092.05,0,0.0,200,1292.05,0
DP0070,1,0;543;542;399;396;571;656;508;1008;0,09:06,15:24,104615,1255.38,50,3.2,200,1508.58,1
DP0071,2,0;596;364;1087;648;437;468;641;590;0,08:43,15:27,132537,1855.52,50,0.0,300,2205.52,1
DP0072,1,0;518;567;444;1045;519;363;372;434;1043;0,08:28,16:53,191426,2297.11,100,0.0,200,2597.11,2
DP0073,1,0;428;340;435;1071;496;480;360;475;0,09:09,16:03,113230,1358.76,50,13.6,200,1622.36,1
DP0074,1,0;575;487;592;1089;337;1074;584;547;433;1098;0,08:00,17:18,191994,2303.93,150,8.8,200,2662.73,3
DP0075,1,0;334;384;416;623;517;552;1040;536;1019;0,08:20,16:37,162453,1949.44,100,10.4,200,2259.84,2
DP0076,1,0;368;1041;636;402;1036;621;1027;662;1096;0,08:01,15:52,162444,1949.33,200,0.0,200,2349.33,4
DP0077,1,0;429;426;484;1073;461;382;346;1021;1094;0,08:49,16:55,166147,1993.76,150,4.8,200,2348.56,3
DP0078,2,0;478;338;541;611;563;1024;568;477;535;0,09:13,16:00,110569,1547.97,50,0.0,300,1897.97,1
DP0079,1,0;665;554;376;663;586;650;600;0,09:15,15:07,109899,1318.79,0,2.4,200,1521.19,0
DP0080,1,0;564;627;407;659;1099;447;455;550;356;0,08:22,15:29,127548,1530.58,50,0.0,200,1780.58,1
DP0081,1,0;574;385;635;450;1100;667;595;1023;0,08:50,15:59,154366,1852.39,100,0.0,200,2152.39,2
DP0082,1,0;598;1020;377;566;1062;526;1029;499;1070;0,08:33,16:49,175449,2105.39,200,3.2,200,2508.59,4
DP0083,1,0;507;347;1002;637;350;371;439;1011;0,08:28,16:41,189022,2268.26,100,8.4,200,2576.66,2
DP0084,1,0;374;522;559;555;1047;373;556;530;471;1076;0,08:07,16:58,164703,1976.44,100,11.6,200,2288.04,2
DP0085,1,0;645;442;602;616;0,09:18,13:17,55114,661.37,0,20.0,200,881.37,0
DP0086,1,0;1034;642;381;505;1016;0,08:00,16:07,109882,1318.58,100,81.2,200,1699.78,2
DP0087,1,0;420;1057;613;1001;451;626;412;1069;0,08:47,16:48,153578,1842.94,150,21.2,200,2214.14,3
DP0088,1,0;1051;655;432;601;515;591;520;0,08:00,15:29,118554,1422.65,50,37.6,200,1710.25,1
DP0089,1,0;449;460;403;549;405;1007;537;620;1039;415;1013;0,08:05,17:29,191457,2297.48,150,0.0,200,2647.48,3
DP0090,1,0;387;1009;649;452;594;521;572;395;1081;0,08:40,17:28,189239,2270.87,100,10.8,200,2581.67,2
DP0091,1,0;497;610;660;464;443;353;1053;576;0,08:25,15:22,144972,1739.66,50,0.0,200,1989.66,1
DP0092,1,0;410;341;413;573;1095;624;557;494;490;1003;0,08:24,16:56,163749,1964.99,100,4.0,200,2268.99,2
DP0093,1,0;646;1032;622;1042;488;523;569;638;1050;0,08:26,16:13,159877,1918.52,150,0.0,200,2268.52,3
DP0094,1,0;577;501;400;380;570;401;561;0,09:18,14:22,69623,835.48,0,2.4,200,1037.88,0
DP0095,1,0;458;640;511;418;425;1035;1079;398;652;504;1072;0,08:17,16:48,146576,1758.91,150,0.0,200,2108.91,3
DP0096,2,0;446;394;1061;453;365;383;546;604;545;1018;0,08:29,16:40,119322,1670.51,100,16.8,300,2087.31,2
DP0097,1,0;553;354;489;440;391;352;0,08:54,14:39,69097,829.16,0,31.2,200,1060.36,0
DP0098,1,0;409;502;1082;493;406;367;345;1037;0,08:39,16:13,140923,1691.08,100,16.0,200,2007.08,2
DP0099,2,0;657;1078;644;1048;472;1086;0,08:47,14:36,96543,1351.6,150,20.0,300,1821.6,3
DP0100,1,0;593;392;1084;647;628;417;1060;481;525;0,08:44,16:12,124687,1496.24,100,9.2,200,1805.44,2
DP0101,1,0;456;1006;582;361;528;632;386;629;1014;0,08:29,16:37,160555,1926.66,100,8.0,200,2234.66,2
DP0102,1,0;463;539;389;454;459;612;1017;654;0,09:19,15:20,71602,859.22,50,12.4,200,1121.62,1
DP0103,1,0;893;1002;821;878;1009;892;952;961;983;1006;0,08:00,17:26,196113,2353.36,150,10.4,200,2713.76,3
DP0104,1,0;938;1081;900;768;963;739;711;905;1075;0,08:18,16:49,172889,2074.67,100,11.6,200,2386.27,2
DP0105,1,0;911;943;817;1069;686;721;0,08:39,13:38,96309,1155.71,50,0.0,200,1405.71,1
DP0106,2,0;763;999;725;687;833;1007;731;869;1039;0,08:42,17:27,199228,2789.19,100,4.4,300,3193.59,2
DP0107,1,0;766;933;775;762;1010;708;957;888;1051;0,08:00,17:27,204055,2448.66,100,18.8,200,2767.46,2
DP0108,1,0;777;1035;998;904;812;1057;668;1019;0,08:50,17:13,111904,1342.85,150,49.6,200,1742.45,3
DP0109,1,0;782;830;1005;997;778;723;912;779;918;1063;0,08:17,16:42,141742,1700.9,100,12.0,200,2012.9,2
DP0110,2,0;796;695;1078;703;1092;840;848;1065;753;807;1055;0,08:28,16:42,128577,1800.08,200,1.6,300,2301.68,4
DP0111,1,0;947;754;868;846;693;714;793;0,09:14,14:27,82233,986.8,0,0.0,200,1186.8,0
DP0112,1,0;841;682;1008;992;973;716;0,09:10,14:05,93207,1118.48,50,0.0,200,1368.48,1
DP0113,1,0;788;770;1029;978;972;1000;765;960;0,08:02,15:35,144575,1734.9,50,14.0,200,1998.9,1
DP0114,2,0;809;819;743;860;977;844;877;758;0,08:26,15:46,142344,1992.82,0,10.0,300,2302.82,0
DP0115,1,0;862;950;966;917;683;1044;873;881;1014;784;0,08:13,16:24,155440,1865.28,100,0.0,200,2165.28,2
DP0116,2,0;899;930;1090;730;839;942;672;1043;0,08:38,15:31,116105,1625.47,100,11.6,300,2037.07,2
DP0117,2,0;741;715;752;971;909;837;0,09:04,15:18,91054,1274.76,0,32.4,300,1607.16,0
DP0118,2,0;688;987;935;931;1068;727;1024;0,08:00,15:19,182258,2551.61,100,2.8,300,2954.41,2
DP0119,1,0;801;855;808;676;803;969;852;692;1061;0,09:50,16:46,108764,1305.17,50,4.0,200,1559.17,1
DP0120,1,0;866;707;1050;772;979;1020;0,09:37,15:56,138797,1665.56,100,11.6,200,1977.16,2
DP0121,1,0;856;764;1038;771;814;677;791;949;1015;0,08:46,16:05,118845,1426.14,100,8.0,200,1734.14,2
DP0122,2,0;804;886;780;1074;864;882;675;1067;0,08:00,16:59,176307,2468.3,100,33.6,300,2901.9,2
DP0123,1,0;954;1046;790;1017;0,11:20,14:17,41634,499.61,100,2.0,200,801.61,2
DP0124,1,0;859;968;1089;926;696;896;879;836;1082;0,08:32,17:04,172435,2069.22,100,12.0,200,2381.22,2
DP0125,1,0;738;934;991;1018;705;898;929;906;1022;0,09:05,16:42,118513,1422.16,100,16.0,200,1738.16,2
DP0126,1,0;989;756;712;701;1003;0,08:25,13:15,96467,1157.6,50,8.4,200,1416.0,1
DP0127,1,0;910;800;735;1023;669;740;1027;0,09:05,15:55,133192,1598.3,100,14.8,200,1913.1,2
DP0128,1,0;831;939;680;1052;685;936;694;880;1032;0,08:39,16:45,107264,1287.17,100,32.8,200,1619.97,2
DP0129,1,0;853;684;867;681;1088;709;757;776;885;1079;0,08:09,16:36,154725,1856.7,100,6.4,200,2163.1,2
DP0130,2,0;767;826;798;806;897;945;919;799;0,09:19,15:56,100904,1412.66,0,12.4,300,1725.06,0
DP0131,1,0;941;744;769;1053;993;1084;0,08:22,15:33,143944,1727.33,100,30.0,200,2057.33,2
DP0132,1,0;751;1095;825;1047;872;1070;928;920;1062;0,08:23,16:08,147576,1770.91,200,5.2,200,2176.11,4
