trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
DP0001,1,0;893;1002;821;878;1009;892;952;961;983;1006;0,08:00,17:26,196113,2353.36,150,10.40,200,2713.76,3
DP0002,1,0;938;1081;900;768;963;739;711;905;1075;0,08:18,16:49,172889,2074.67,100,11.60,200,2386.27,2
DP0003,1,0;911;943;817;1069;686;721;0,08:39,13:38,96309,1155.71,50,0.00,200,1405.71,1
DP0004,2,0;763;999;725;687;833;1007;731;869;1039;0,08:42,17:27,199228,2789.19,100,4.40,300,3193.59,2
DP0005,1,0;766;933;775;762;1010;708;957;888;1051;0,08:00,17:27,204055,2448.66,100,18.80,200,2767.46,2
DP0006,1,0;777;1035;998;904;812;1057;668;1019;0,08:50,17:13,111904,1342.85,150,49.60,200,1742.45,3
DP0007,1,0;782;830;1005;997;778;723;912;779;918;1063;0,08:17,16:42,141742,1700.90,100,12.00,200,2012.90,2
DP0008,2,0;796;695;1078;703;1092;840;848;1065;753;807;1055;0,08:28,16:42,128577,1800.08,200,1.60,300,2301.68,4
DP0009,1,0;947;754;868;846;693;714;793;0,09:14,14:27,82233,986.80,0,0.00,200,1186.80,0
DP0010,1,0;841;682;1008;992;973;716;0,09:10,14:05,93207,1118.48,50,0.00,200,1368.48,1
DP0011,1,0;788;770;1029;978;972;1000;765;960;0,08:02,15:35,144575,1734.90,50,14.00,200,1998.90,1
DP0012,2,0;809;819;743;860;977;844;877;758;0,08:26,15:46,142344,1992.82,0,10.00,300,2302.82,0
DP0013,1,0;862;950;966;917;683;1044;873;881;1014;784;0,08:13,16:24,155440,1865.28,100,0.00,200,2165.28,2
DP0014,2,0;899;930;1090;730;839;942;672;1043;0,08:38,15:31,116105,1625.47,100,11.60,300,2037.07,2
DP0015,2,0;741;715;752;971;909;837;0,09:04,15:18,91054,1274.76,0,32.40,300,1607.16,0
DP0016,2,0;688;987;935;931;1068;727;1024;0,08:00,15:19,182258,2551.61,100,2.80,300,2954.41,2
DP0017,1,0;801;855;808;676;803;969;852;692;1061;0,09:50,16:46,108764,1305.17,50,4.00,200,1559.17,1
DP0018,1,0;866;707;1050;772;979;1020;0,09:37,15:56,138797,1665.56,100,11.60,200,1977.16,2
DP0019,1,0;856;764;1038;771;814;677;791;949;1015;0,08:46,16:05,118845,1426.14,100,8.00,200,1734.14,2
DP0020,2,0;804;886;780;1074;864;882;675;1067;0,08:00,16:59,176307,2468.30,100,33.60,300,2901.90,2
DP0021,1,0;954;1046;790;1017;0,11:20,14:17,41634,499.61,100,2.00,200,801.61,2
DP0022,1,0;859;968;1089;926;696;896;879;836;1082;0,08:32,17:04,172435,2069.22,100,12.00,200,2381.22,2
DP0023,1,0;738;934;991;1018;705;898;929;906;1022;0,09:05,16:42,118513,1422.16,100,16.00,200,1738.16,2
DP0024,1,0;989;756;712;701;1003;0,08:25,13:15,96467,1157.60,50,8.40,200,1416.00,1
DP0025,1,0;910;800;735;1023;669;740;1027;0,09:05,15:55,133192,1598.30,100,14.80,200,1913.10,2
DP0026,1,0;831;939;680;1052;685;936;694;880;1032;0,08:39,16:45,107264,1287.17,100,32.80,200,1619.97,2
DP0027,1,0;853;684;867;681;1088;709;757;776;885;1079;0,08:09,16:36,154725,1856.70,100,6.40,200,2163.10,2
DP0028,2,0;767;826;798;806;897;945;919;799;0,09:19,15:56,100904,1412.66,0,12.40,300,1725.06,0
DP0029,1,0;941;744;769;1053;993;1084;0,08:22,15:33,143944,1727.33,100,30.00,200,2057.33,2
DP0030,1,0;751;1095;825;1047;872;1070;928;920;1062;0,08:23,16:08,147576,1770.91,200,5.20,200,2176.11,4
DP0031,1,0;925;794;1076;781;902;732;932;1072;0,08:32,15:12,114717,1376.60,100,7.20,200,1683.80,2
