id,lng,lat,route,order,weight
秋塘-胡家、吴家,116.484883429094,28.0593660799172,1.0,1.0,0.1281
秋塘-黄家、易家,116.485728088796,28.0602927187582,1.0,2.0,0.0918
太阳-新村,116.484051182517,28.0644337336491,1.0,3.0,0.177
太阳-戴家,116.489063470445,28.0636492748259,1.0,4.0,0.06
太阳-老街,116.490105754158,28.064900481561,1.0,5.0,0.135
太阳-邱家,116.488723792221,28.0680630876201,1.0,6.0,0.084
延桥-畲里组,116.489963176261,28.0751811164499,1.0,7.0,0.078
延桥-周家组,116.489325640347,28.0790523034128,1.0,8.0,0.1131
延桥-付家,116.491078947412,28.0802379308792,1.0,9.0,0.144
延桥-胡家岭组,116.487430384398,28.085847324114,1.0,10.0,0.1155
娄溪-高车山,116.503417941514,28.081312719848,1.0,11.0,0.0741
娄溪-桥背,116.507051881071,28.0762499512178,1.0,12.0,0.0597
娄溪-门楼黎,116.503183583403,28.0763850230675,1.0,13.0,0.1485
娄溪-郭溪艾家,116.503089695329,28.0727000605858,1.0,14.0,0.0657
娄溪-徐家,116.503140895246,28.0696141129651,1.0,15.0,0.0426
娄溪-枫树下,116.506222887637,28.0682404487729,1.0,16.0,0.018
娄溪-饶家,116.511210064068,28.0679537304918,1.0,17.0,0.0519
娄溪-官家,116.51409827444,28.0677140879418,1.0,18.0,0.0561
娄溪-山中艾家,116.516710128683,28.0682562429173,1.0,19.0,0.0558
娄溪-何上,116.518924199044,28.0628387887633,1.0,20.0,0.057
湖溪-岔背村,116.524979418362,28.061434521642,1.0,21.0,0.084
湖溪-太平桥,116.526062295625,28.0588599453744,1.0,22.0,0.174
湖溪-白家,116.518907029501,28.0561158980725,1.0,23.0,0.045
湖溪-邹家,116.516685416356,28.0600276386367,1.0,24.0,0.141
湖溪-谷家,116.510351711299,28.0614229560056,1.0,25.0,0.096
湖溪-车家,116.50737902446,28.0589366412752,1.0,26.0,0.0414
湖溪-车水源,116.504514915388,28.0594727780641,1.0,27.0,0.054
湖溪-黄家,116.506214614291,28.0617305281702,1.0,28.0,0.033
邓家-付家,116.501748698973,28.0632551598801,1.0,29.0,0.0945
邓家-黄家,116.49825564757,28.0634762066866,1.0,30.0,0.0879
