id,lng,lat,route,order,weight
嵩湖-下熊,116.479454366104,27.9086704976173,1.0,1.0,0.0195
官家-下罗,116.475726586934,27.907703751747,1.0,2.0,0.0219
嵩湖-杜下谢,116.476190537704,27.9151015163787,1.0,3.0,0.0345
上聂-饶徐,116.469301219667,27.9141878953198,1.0,4.0,0.0324
嵩湖-圳上熊家,116.471009462507,27.9113137668369,1.0,5.0,0.0192
上聂-李家,116.46757273902,27.9107281836182,1.0,6.0,0.0024
上聂-陈坊,116.466761175487,27.9133139811983,1.0,7.0,0.0324
上聂-张家,116.464698276606,27.9161593236701,1.0,8.0,0.012
上聂-上聂,116.46658378174,27.9201008363703,1.0,9.0,0.0384
上聂-榨下,116.471045848725,27.9185937714906,1.0,10.0,0.012
上聂-苪坊张,116.472854950302,27.9206869302873,1.0,11.0,0.0051
上聂-苪家,116.47215772979,27.9222389505478,1.0,12.0,0.0051
上聂-泗溪湖,116.467952668518,27.9271540178279,1.0,13.0,0.0141
上聂-下聂,116.462072067859,27.9253048740902,1.0,14.0,0.042
上聂-王家,116.458338140647,27.9207516372021,1.0,15.0,0.0171
曹家-饶家,116.441592327585,27.9153725329927,1.0,16.0,0.0069
曹家-麻岭杨家,116.448059611121,27.910507772243,1.0,17.0,0.0078
曹家-麻岭范家,116.451639504025,27.9045427440116,1.0,18.0,0.0174
曹家-溪陈家,116.455215214909,27.9006715972483,1.0,19.0,0.0126
曹家-熊家,116.457424441807,27.9011439262689,1.0,20.0,0.0057
曹家-曹家,116.462305304814,27.9038434498597,1.0,21.0,0.0234
曹家-危家,116.462524154755,27.8997472974933,1.0,22.0,0.0168
曹家-杨窑,116.463818056866,27.8937135002248,1.0,23.0,0.0072
下泽-大源饶家,116.442907699234,27.8915177065339,1.0,24.0,0.0105
下泽-大源全付,116.444502939796,27.8902391396264,1.0,25.0,0.0096
下泽-上泽,116.454196788023,27.8781159403514,1.0,26.0,0.0165
站上-傅坊周家,116.458875833944,27.8721060961781,1.0,27.0,0.0561
站上-西溪张家,116.463331533972,27.870670986897,1.0,28.0,0.1902
站上-官峰邹家,116.464802658141,27.8750859975154,1.0,29.0,0.0558
站上-港西饶家,116.465404369111,27.879811926515,1.0,30.0,0.0396
下泽-下泽,116.463163264171,27.8826409070115,1.0,31.0,0.0378
陈油-杨林桥,116.470208169944,27.8817307562074,1.0,32.0,0.0114
官家-前排,116.471800030381,27.8912575908355,1.0,33.0,0.0105
官家-叶家,116.476663851596,27.8945420945446,1.0,34.0,0.0306
官家-何家,116.469333459174,27.9003530357602,1.0,35.0,0.0116
官家-谢坊,116.471884703849,27.9017894391876,1.0,36.0,0.01
官家-官家,116.473116594031,27.9044616413157,1.0,37.0,0.0474
官家-周家,116.475997668557,27.9043408471407,1.0,38.0,0.0234
官家-上罗,116.478641535059,27.9016591713711,1.0,39.0,0.0168
官家-田南吴家,116.481939740928,27.9011359161664,1.0,40.0,0.0135
范家-南郑,116.486687804721,27.9000300602303,1.0,41.0,0.0153
范家-楼上郑,116.487689771699,27.9027196847468,1.0,42.0,0.0204
范家-塅上郑家,116.490936221638,27.9038586671968,1.0,43.0,0.0105
范家-汤家岭,116.496455045343,27.9012191319294,1.0,44.0,0.0123
陈油-饶米信,116.494899087213,27.8938020433473,1.0,45.0,0.0141
陈油-付家,116.484895448142,27.8963522701538,1.0,46.0,0.0444
陈油-米山张家,116.482738674902,27.8914986826884,1.0,47.0,0.0204
陈油-陈油,116.482556293839,27.8868358616951,1.0,48.0,0.0591
陈油-廖坊董家,116.4819113952,27.8791758535155,1.0,49.0,0.0714
廖家-廖家,116.482093432896,27.8774759056836,1.0,50.0,0.0444
陈油-新村黄家,116.481713121255,27.8725232743026,1.0,51.0,0.0126
玉湖-夏家,116.480383049238,27.8684882904698,1.0,52.0,0.114
玉湖-下渡,116.472010443248,27.865811157108,1.0,53.0,0.0915
站上-姜坊李家,116.46428245429,27.8589971789255,1.0,54.0,0.0399
站上-彭坊全家,116.458605690618,27.8539472932865,1.0,55.0,0.1152
站上-乌溪杨家,116.453070993853,27.8590143775217,1.0,56.0,0.0576
站上-乌溪周家,116.450289940626,27.8625686211135,1.0,57.0,0.0468
白竹-铁炉塘熊家,116.436748908515,27.8586227516568,1.0,58.0,0.0357
白竹-梳桩田吴家,116.433721942639,27.847007456587,1.0,59.0,0.0351
白竹-新张,116.426602765989,27.8451343202791,1.0,60.0,0.0243
白竹-北溪黄家,116.419404755647,27.8441573954714,1.0,61.0,0.0591
白竹-北溪潘家,116.423998950101,27.8398054187301,1.0,62.0,0.0171
下张-墩后黄家,116.427019063763,27.8284253728406,1.0,63.0,0.0258
下张-墩后周家,116.431586488105,27.8282342506842,1.0,64.0,0.0384
下张-古塘邓家,116.426110779031,27.8190257477203,1.0,65.0,0.0357
下张-塅上钱家,116.424947622836,27.8151338194151,1.0,66.0,0.0459
下张-河上,116.430763873099,27.8161395698399,1.0,67.0,0.0492
下张-港南,116.438177509843,27.8194983644742,1.0,68.0,0.0345
下张-湖上封家,116.440895504897,27.8266618851248,1.0,69.0,0.0477
下张-吴里,116.442450916677,27.8325564004488,1.0,70.0,0.0588
下张-饶家,116.452054260621,27.8299423606602,1.0,71.0,0.0639
下张-古港,116.44722857946,27.8249615637109,1.0,72.0,0.1191
下张-下张,116.445136129267,27.8188753404425,1.0,73.0,0.0639
下张-山东李家,116.452480119488,27.8204471185525,1.0,74.0,0.0561
下张-山东朱家,116.457427247874,27.818383916979,1.0,75.0,0.102
下张-茶园龚家,116.458460411421,27.823006727515,1.0,76.0,0.0282
东馆-塅上陈游,116.47491630183,27.8357196728391,1.0,77.0,0.0378
东馆-梦桥郄,116.467711463797,27.8362140378881,1.0,78.0,0.063
站上-吕桥,116.464064562979,27.8370718966466,1.0,79.0,0.0963
站上-站上,116.460405081064,27.8403899024351,1.0,80.0,0.0777
站上-白坊,116.461387607106,27.8458125072153,1.0,81.0,0.1023
玉湖-王家,116.475909165778,27.8536746443657,1.0,82.0,0.09
刘村-小羊坊,116.507035831975,27.8502763387102,1.0,83.0,0.015
刘村-上黄,116.515640861998,27.8520900817417,1.0,84.0,0.12
刘村-嵩源危家,116.511992878458,27.8533484439917,1.0,85.0,0.108
刘村-上龙邓家,116.507006611151,27.8584624928609,1.0,86.0,0.057
刘村-下溪邓家,116.500458303772,27.8646556159967,1.0,87.0,0.18
加升-南门高家,116.521767821212,27.884499333882,1.0,88.0,0.0306
加升-李家,116.525968271776,27.8896490081383,1.0,89.0,0.0156
加升-吴家,116.519354362289,27.8894356955099,1.0,90.0,0.027
加升-颜家,116.52056214217,27.8933304738565,1.0,91.0,0.0111
加升-枫树下,116.517559474483,27.8974434120628,1.0,92.0,0.0108
加升-朱家桥,116.519056701846,27.8996921126281,1.0,93.0,0.015
江下-花园李家,116.521752792914,27.9036511110133,1.0,94.0,0.0126
范家-李家坑,116.514634691231,27.9106116987215,1.0,95.0,0.0012
范家-秤砣山丁家,116.510178315565,27.9182795855417,1.0,96.0,0.036
范家-加湖汪家,116.502930309358,27.9163470443493,1.0,97.0,0.0102
范家-加湖谢家,116.503756762211,27.9147829925933,1.0,98.0,0.0153
范家-徐家岭,116.495857641508,27.9071398727412,1.0,99.0,0.0045
范家-范家,116.491206608702,27.911974955008,1.0,100.0,0.0423
嵩湖-上谢,116.486655542824,27.910883784284,1.0,101.0,0.0813
江下-上栎坪,116.520524793435,27.9099203876327,2.0,1.0,0.0096
江下-下栎坪2,116.521655159673,27.9102792741364,2.0,2.0,0.0102
江下-下栎坪1,116.521655159673,27.9102792741364,2.0,3.0,0.0102
江下-汤家,116.532651390584,27.9073969909301,2.0,4.0,0.018
江下-龙家,116.527500174362,27.9045710054125,2.0,5.0,0.0111
江下-江上,116.528575556712,27.9024838037258,2.0,6.0,0.0084
加升-东坑傅家,116.529102983683,27.8916932659163,2.0,7.0,0.0279
加升-彭坊,116.530866674229,27.8815416855308,2.0,8.0,0.0207
厚源-厚源1,116.534589415625,27.8606327045036,2.0,9.0,0.1584
厚源-厚源2组,116.538351643105,27.859184661885,2.0,10.0,0.1056
饶家-饶家村,116.54937169977,27.8731913466537,2.0,11.0,0.153
饶家-饶家3、4组,116.550029060076,27.8767937649403,2.0,12.0,0.0678
付家-瑶上封家,116.57087403763,27.875690427533,2.0,13.0,0.0081
付家-瑶千谢家,116.566794377827,27.8833586954723,2.0,14.0,0.0042
付家-外陈坊,116.567074114791,27.896416989823,2.0,15.0,0.0057
付家-傅家1,116.558086245343,27.9004174240957,2.0,16.0,0.0072
付家-南门谢家,116.557588123613,27.9023821349517,2.0,17.0,0.0078
付家-阮家,116.554477252379,27.9097947015791,2.0,18.0,0.0063
付家-吴山岭,116.550556721791,27.9083857745478,2.0,19.0,0.0111
付家-湖上孙家,116.545754041636,27.9110478615697,2.0,20.0,0.0144
江下-金店汪家,116.542020177735,27.9162915286144,2.0,21.0,0.0174
江下-上丁家,116.533546207064,27.9153158808507,2.0,22.0,0.0138
江下-孙家,116.528563485417,27.9145794206232,2.0,23.0,0.009
廖家-下丁,116.52802529412,27.9162486808957,2.0,24.0,0.0234
