id,lng,lat,route,order,weight
马家-杨家,116.291771660914,28.0218805216295,1.0,1.0,0.0537
马家-廖坑,116.292748076161,28.0271582820352,1.0,2.0,0.1281
马家-马家,116.283249044401,28.0207176841563,1.0,3.0,0.288
马家-后岭,116.282274013222,28.023535731502,1.0,4.0,0.0651
马家-石路塅,116.280876661841,28.0292740664163,1.0,5.0,0.0384
展坪-何塘,116.265318139975,28.0274103756611,1.0,6.0,0.0678
展坪-宋家,116.254397489811,28.0382859549607,1.0,7.0,0.0744
祝岗-前坊孔家,116.258775518345,28.0418408979273,1.0,8.0,0.0234
祝岗-前坊杨家,116.258803265726,28.0452339591203,1.0,9.0,0.0234
祝岗-祝岗,116.268196924174,28.0435857001736,1.0,10.0,0.0825
占源-古塘,116.275422089008,28.0421040606623,1.0,11.0,0.1995
占源-长江上,116.282455691364,28.0520538481892,1.0,12.0,0.0743
占源-詹源村,116.282878877562,28.054783591696,1.0,13.0,0.1
占源-裴桥,116.276554232084,28.0550155938144,1.0,14.0,0.0807
占源-石牛,116.277272822953,28.059242837535,1.0,15.0,0.0351
端溪-端溪,116.270788564743,28.0646949902803,1.0,16.0,0.2556
郑坊-上赤山,116.246498820761,28.0773110987581,1.0,17.0,0.258
端溪-罗源周,116.268739304568,28.0772590806721,1.0,18.0,0.0729
南塘-八都,116.276909243649,28.0778710817979,1.0,19.0,0.0648
端溪-鄢家,116.27669573376,28.0688520181546,1.0,20.0,0.0594
占源-朱家,116.279949782204,28.0659600473826,1.0,21.0,0.0315
占源-甘家桥,116.282561477099,28.0664681181291,1.0,22.0,0.114
南塘-南塘,116.290277220635,28.0707788569972,1.0,23.0,0.1602
南塘-李联,116.299233718038,28.0685554912986,1.0,24.0,0.036
南塘-彭源,116.303969446718,28.0688728737742,1.0,25.0,0.1872
石港-石潭,116.31504294259,28.067778173886,1.0,26.0,0.0795
石港-桥头,116.322668979436,28.0605586669858,1.0,27.0,0.0795
石港-江坊,116.317269287779,28.0584637342766,1.0,28.0,0.0738
石港-咀上,116.316849766323,28.0558146161953,1.0,29.0,0.1242
