id,lng,lat,route,order,weight
下门-庙背,116.166412813118,28.1654963094882,1.0,1.0,0.0561
下门-路下,116.166411161787,28.1690145915007,1.0,2.0,0.0396
下门-龙塘,116.168298601656,28.1737985397841,1.0,3.0,0.0267
下门-安坊,116.172315241371,28.1714948931685,1.0,4.0,0.0099
毛坊-武家,116.1773467367,28.184082405906,1.0,5.0,0.0438
毛坊-西岸,116.17771456105,28.1883633547957,1.0,6.0,0.0399
毛坊-柘下,116.173093122217,28.1902931140657,1.0,7.0,0.0486
毛坊-万溪,116.167892929958,28.1859245167665,1.0,8.0,0.0366
毛坊-金坑,116.162231316829,28.1885845326544,1.0,9.0,0.0315
毛坊-毛坊,116.166545478813,28.1931517225731,1.0,10.0,0.0897
毛坊-刘家,116.164597737785,28.198418425184,1.0,11.0,0.0876
溪头-蔡家洲,116.162616254608,28.2112945751738,1.0,12.0,0.0498
溪头-石田,116.155823407293,28.2094238144565,1.0,13.0,0.0375
溪头-小田,116.153421111156,28.2042534551145,1.0,14.0,0.0129
院前-周家山,116.14202712179,28.2055486157889,1.0,15.0,0.0279
院前-院前,116.14307725654,28.2086594692854,1.0,16.0,0.1122
溪头-溪头,116.149049416995,28.2179563435859,1.0,17.0,0.0912
溪头-北头,116.148871977123,28.2239013603523,1.0,18.0,0.0756
溪头-团溪,116.144340992238,28.2250023747093,1.0,19.0,0.0132
青塘-颜溪,116.14022896235,28.2271619182547,1.0,20.0,0.0228
青塘-大皂,116.134889027223,28.2290499419254,1.0,21.0,0.0666
青塘-何家,116.132963556026,28.2234367914326,1.0,22.0,0.0252
青塘-青塘,116.131149205048,28.2264583897415,1.0,23.0,0.0591
青塘-蒋坊,116.12243009481,28.2326072913882,1.0,24.0,0.0636
青塘-仓背,116.120707789127,28.2308266757876,1.0,25.0,0.0396
青塘-郑坑,116.113264504965,28.2226068801831,1.0,26.0,0.0174
青塘-上麻畲,116.131667037873,28.2179813739966,1.0,27.0,0.0621
青塘-下麻畲,116.134198404467,28.2176533863846,1.0,28.0,0.0678
院前-石巷,116.136373587851,28.2133999284635,1.0,29.0,0.1251
院前-高坊,116.133465652998,28.2106989593972,1.0,30.0,0.0285
院前-章坊,116.129875353191,28.2097842601044,1.0,31.0,0.0654
坪上-上高,116.122411707911,28.2065850534752,1.0,32.0,0.054
坪上-严坊,116.129331706268,28.2004119497218,1.0,33.0,0.0588
坪上-坪上,116.129200435758,28.1971939909859,1.0,34.0,0.0696
坪上-苦坑,116.122102005608,28.1961015818616,1.0,35.0,0.0306
高家-高家,116.119953560098,28.1977013717991,1.0,36.0,0.0789
高家-金源,116.116866223165,28.2031163973472,1.0,37.0,0.0387
高家-寒皂,116.11026986646,28.2052204108337,1.0,38.0,0.0195
高家-范家,116.108547666628,28.1984722577793,1.0,39.0,0.0417
高家-涂墩,116.113471574757,28.1910776269001,1.0,40.0,0.0447
高家-蒋李,116.109033554924,28.1895825049911,1.0,41.0,0.0393
株山-阳坑,116.108367715412,28.1880678281005,1.0,42.0,0.0168
株山-肖坊,116.10599420151,28.182419848754,1.0,43.0,0.0384
株山-刘家,116.10604733484,28.1807646375119,1.0,44.0,0.1239
株山-万家,116.113765576952,28.1776299738174,1.0,45.0,0.0525
株山-桂家,116.115404291871,28.1788244432867,1.0,46.0,0.0243
株山-邱家,116.116432004229,28.1732246779747,1.0,47.0,0.0147
株山-余家,116.108535605597,28.1721973692472,1.0,48.0,0.081
株山-舍头,116.108793377764,28.1704008837504,1.0,49.0,0.0417
城坊-荞麦坑,116.115889513637,28.1637053254654,1.0,50.0,0.0201
乌岚-白果,116.12552295293,28.1557839131427,1.0,51.0,0.0141
乌岚-姚源,116.130309806215,28.1565341160242,1.0,52.0,0.0147
乌岚-杨家,116.13283020573,28.1575055866256,1.0,53.0,0.045
乌岚-刘家,116.135991221536,28.1585088816013,1.0,54.0,0.0477
城坊-城坊,116.124574380573,28.1674027037405,1.0,55.0,0.3921
城坊-程家溪,116.129938190682,28.1704401485136,1.0,56.0,0.024
株山-泥岗,116.125449111995,28.17559697954,1.0,57.0,0.012
株山-李坑,116.121814885509,28.1818726246344,1.0,58.0,0.018
坪上-大坑,116.128317675539,28.1888748603821,1.0,59.0,0.0801
院前-付家,116.140391779502,28.193195863267,1.0,60.0,0.0297
魏坊-魏坊,116.137030469557,28.1774909573706,1.0,61.0,0.1356
魏坊-孙家、刘家、何家,116.137698075763,28.1776781536198,1.0,62.0,0.0987
魏坊-官溪,116.140619513812,28.1768373143474,1.0,63.0,0.0237
吴头-杨门,116.14453514,28.17915613,1.0,64.0,0.0588
