id,lng,lat,route,order,weight
东溪-邓家,116.281725957609,27.8590114336765,1.0,1.0,0.1374
梓溪-赵家,116.285077618112,27.8542390958856,1.0,2.0,0.1056
上阳-洲上,116.279265521346,27.8514260472752,1.0,3.0,0.1851
上阳-下阳,116.279797965538,27.8482506994984,1.0,4.0,0.243
上阳-上阳,116.282581408375,27.8455505375058,1.0,5.0,0.2106
上阳-余家,116.286214185898,27.8429574129748,1.0,6.0,0.1695
吴家店-来头岗,116.282690925271,27.8368963646343,1.0,7.0,0.1176
吴家店-吴家店,116.278279918706,27.840496866968,1.0,8.0,0.3633
吴家店-炉下,116.275266347727,27.834823771934,1.0,9.0,0.1749
洪坊-洪坊,116.273986539919,27.8253013362274,1.0,10.0,0.4299
洪坊-吴家,116.277048482621,27.8268025187863,1.0,11.0,0.1815
邱坊-马岭,116.295527637447,27.8336564287015,1.0,12.0,0.1512
邱坊-茂源,116.298231919618,27.8248525130656,1.0,13.0,0.0474
邱坊-彭源,116.316370235529,27.8168029261163,1.0,14.0,0.0825
大路-许坊陂,116.315913392058,27.8384151861586,1.0,15.0,0.0789
大路-撮斗科,116.310056319775,27.8430367177967,1.0,16.0,0.1434
大路-黄司,116.301364415457,27.8411765431567,1.0,17.0,0.072
大路-团溪桥,116.305205768458,27.8500807515977,1.0,18.0,0.1494
大路-大路,116.308840055403,27.8550042529839,1.0,19.0,0.1071
梓溪-皱家,116.292093521774,27.8622135607512,1.0,20.0,0.6852
梓溪-吴家,116.288947765752,27.863307266283,1.0,21.0,0.1326
罗田-许家,116.287460127692,27.8776330373541,2.0,1.0,0.174
李家-周家,116.291615017998,27.873874427804,2.0,2.0,0.2385
李家-中李,116.295634071077,27.8741321173571,2.0,3.0,0.0726
李家-上李,116.297805667601,27.8714749839009,2.0,4.0,0.2253
大升-榨下,116.302615854499,27.8770418694751,2.0,5.0,0.138
大升-谢家,116.307472038353,27.8763051362802,2.0,6.0,0.1818
大路-山头铺,116.306261109449,27.8625984555402,2.0,7.0,0.1125
梓溪-油榨下,116.294083697971,27.8661666950906,2.0,8.0,0.0906
梓溪-吴金,116.287961015338,27.8645519475528,2.0,9.0,0.1164
博溪-乌石,116.287304687586,27.8094391079742,2.0,10.0,0.1956
头昌-李针,116.32259623388,27.8514290068277,2.0,11.0,0.0906
金房-金房,116.323736851806,27.8626908222778,2.0,12.0,0.2526
头昌-大桥,116.325683878411,27.8590248921793,2.0,13.0,0.408
头昌-鲍家,116.328987847473,27.8566116256929,2.0,14.0,0.0534
头昌-下坡,116.332398213071,27.8547060894835,2.0,15.0,0.0201
头昌-北坑,116.340977531177,27.8538891751509,2.0,16.0,0.0186
舍头-廖家,116.34404737876,27.866761189506,2.0,17.0,0.1053
舍头-舍头,116.331849097552,27.8787795171799,2.0,18.0,0.1368
金房-丰塅,116.326018188469,27.8689048275043,2.0,19.0,0.04
金房-朱司,116.321111707683,27.8702258193805,2.0,20.0,0.04
金房-石塘,116.318041651859,27.8759007883342,2.0,21.0,0.0325
曾家油榨下,116.317653292922,27.8800286224729,2.0,22.0,0.1386
后坊-全坊,116.309902179028,27.8890666550269,2.0,23.0,0.102
后坊-前刘,116.311042389348,27.8916258967741,2.0,24.0,0.177
黄湾-下黄,116.302159472627,27.889186205405,2.0,25.0,0.147
黄湾-上黄,116.301978425208,27.8858035146899,2.0,26.0,0.156
大升-老余,116.300021125835,27.8828600157058,2.0,27.0,0.129
大升-黄邓,116.29925755526,27.8819205631476,2.0,28.0,0.0468
大升-肖家,116.297117701704,27.8795721594061,2.0,29.0,0.081
大升-新余,116.296633379593,27.8814734466943,2.0,30.0,0.144
下庄-杨家,116.293514753664,27.885101755181,2.0,31.0,0.0789
石鼓-杨铁,116.308219205265,27.9095768781166,3.0,1.0,0.1272
石鼓-石鼓,116.311291000768,27.9080220298702,3.0,2.0,0.252
下城-颜坊,116.31820760754,27.9037928781325,3.0,3.0,0.0858
下城-江家,116.3284184475,27.9049857518657,3.0,4.0,0.1737
下城-吴家,116.328545362148,27.907239942533,3.0,5.0,0.1737
下城-娄家,116.328144382436,27.9098242099098,3.0,6.0,0.0507
下城-源头,116.340062355225,27.9103959324359,3.0,7.0,0.1092
东殿-程家合,116.333909026982,27.9206868107362,3.0,8.0,0.0285
东殿-胡家,116.331257675829,27.9193067155982,3.0,9.0,0.0594
城上-城上范家,116.326325845802,27.9204685161152,3.0,10.0,0.1956
城上-邱家,116.325656634836,27.9156498211746,3.0,11.0,0.069
城上-城上周家,116.323334991042,27.9160438720559,3.0,12.0,0.0429
城上-角上饶家,116.321372022085,27.9186513931321,3.0,13.0,0.0462
山头-韩家,116.319715286916,27.922514988429,3.0,14.0,0.0996
城上-白马庙饶家,116.325127131927,27.925530536175,3.0,15.0,0.0765
东殿-石狮口,116.330509139316,27.9299992882571,3.0,16.0,0.0306
笠上-上周,116.331003833327,27.9316609477468,3.0,17.0,0.0819
东殿-东殿,116.334872511512,27.9293163024692,3.0,18.0,0.1899
东殿-王家仓,116.338107995159,27.9342726223092,3.0,19.0,0.0216
笠上-南山,116.3378449745,27.9394171605393,3.0,20.0,0.0591
笠上-浮堆,116.329776381414,27.9375357634891,3.0,21.0,0.0906
笠上-胥郭,116.330438309571,27.9355691701746,3.0,22.0,0.0552
笠上-玔口,116.328570512412,27.9352259418973,3.0,23.0,0.0762
笠上-笠上,116.324521447791,27.9326117778564,3.0,24.0,0.1053
笠上-杏玔,116.319802274588,27.9362862733446,3.0,25.0,0.0798
笠上-陂头,116.316537456385,27.933207783424,3.0,26.0,0.1122
山头-刘邓邹家、翁家桥,116.313490208097,27.9262865215653,3.0,27.0,0.2244
