id,lng,lat,route,order,weight
新积-老街区,116.416387267613,28.0832711518679,1.0,1.0,0.1017
新积-新街区,116.418235511745,28.0817332527824,1.0,2.0,0.0927
里士,116.421516215111,28.0807619148734,1.0,3.0,0.1497
何家-山赛山,116.433617001351,28.086154715714,1.0,4.0,0.0309
何家-郑家,116.437137205359,28.0825874414884,1.0,5.0,0.156
何家-吴城桥,116.434159888871,28.079460023557,1.0,6.0,0.1506
何家-何家,116.434156336213,28.0755778181595,1.0,7.0,0.066
何家-黄山,116.432363776761,28.0707807766773,1.0,8.0,0.069
樟溪-樟溪,116.425272853686,28.0662403190706,1.0,9.0,0.483
雷溪-下塘组,116.437090730364,28.0643889288519,1.0,10.0,0.2133
雷溪-雷溪,116.438639471756,28.0688112300857,1.0,11.0,0.147
宋家-汪洋,116.448158805358,28.0711409858383,1.0,12.0,0.0636
宋家-前宋,116.446526599363,28.0767812033589,1.0,13.0,0.264
宋家-后宋,116.445603613711,28.0802615902202,1.0,14.0,0.1224
黄铁-西源三、四组,116.452914040237,28.080592965895,1.0,15.0,0.1485
黄铁-西源-一、二组,116.451399240862,28.0831494809746,1.0,16.0,0.1254
黄铁-源头五组,116.456160750008,28.0894205502072,1.0,17.0,0.117
何坊-沙坑组,116.463446273537,28.0896586147637,1.0,18.0,0.0891
牙背-牙背一组,116.475180294124,28.1101358529716,1.0,19.0,0.105
牙背-胡家一、二组,116.469705853548,28.1137210484589,1.0,20.0,0.129
牙背-李家湾村,116.469233793135,28.1118080483193,1.0,21.0,0.105
何坊-下陈,116.461587123823,28.100221741346,1.0,22.0,0.1095
何坊-上陈,116.46131589541,28.0968529237303,1.0,23.0,0.1044
黄铁-前、后洪,116.450329984821,28.0901703173346,1.0,24.0,0.1245
黄铁-杨家组,116.446001561111,28.0903864141473,1.0,25.0,0.09
黄铁-上徐组,116.441502345773,28.0944104664099,1.0,26.0,0.033
墩上-墩上,116.42553086304,28.0904858812191,1.0,27.0,0.2112
新积-上章,116.416401900814,28.0871057508124,1.0,28.0,0.1212
艻口-阮家村,116.37208056354,28.0460644803328,2.0,1.0,0.0627
艻口-刘邱村,116.373587603719,28.0445766855513,2.0,2.0,0.063
艻口-上张村,116.373129125179,28.0431481228347,2.0,3.0,0.0573
艻口-下张,116.367807279591,28.045043959804,2.0,4.0,0.0546
艻口-湖西,116.368346693542,28.0377054298922,2.0,5.0,0.1356
艻口-湖东村,116.370119460103,28.0389002315823,2.0,6.0,0.1293
庙东-渡口村,116.384204407605,28.0332728440352,2.0,7.0,0.0789
下璜-周家,116.379133976692,28.0288846505189,2.0,8.0,0.0648
下璜-王家,116.378028592252,28.0286750956853,2.0,9.0,0.1113
下璜-李家2组,116.37634495265,28.0299225120286,2.0,10.0,0.0648
下璜-饶家,116.374893033593,28.0291099712249,2.0,11.0,0.1104
下璜-汤家,116.374445126917,28.0283679506701,2.0,12.0,0.081
下璜-李家3组,116.37387641871,28.0309283693979,2.0,13.0,0.081
中洲-杨家村,116.367308238281,28.0282765166597,2.0,14.0,0.111
中洲-周龙村,116.366286836896,28.0237150101982,2.0,15.0,0.12
中洲-赵家口,116.361348448302,28.0224130440803,2.0,16.0,0.105
下李-徐李村,116.353955190814,28.0196925693592,2.0,17.0,0.072
下李-下李4组,116.350942560393,28.021546160582,2.0,18.0,0.15
下李-下李3组,116.350832811111,28.0241024052911,2.0,19.0,0.048
下李-胡家,116.345845686782,28.02432133652,2.0,20.0,0.0891
下李-姜家,116.345229689764,28.0285734674058,2.0,21.0,0.0588
下李-陈家,116.342743608043,28.024138727833,2.0,22.0,0.0546
严家-廖家,116.342452845397,28.0195614412924,2.0,23.0,0.0408
严家-狮子山6组,116.339354770612,28.0183422281685,2.0,24.0,0.0678
严家-严家,116.341311017283,28.0174311149211,2.0,25.0,0.042
严家-破港村,116.340541641432,28.0126717259768,2.0,26.0,0.051
严家-肖家桥,116.338863645419,28.0147470717973,2.0,27.0,0.1008
严家-狮子山7组,116.334474590679,28.0172299542485,2.0,28.0,0.0693
下李-颜家,116.33271899,28.02294999,2.0,29.0,0.096
下李-何家渡,116.336337306539,28.025979743265,2.0,30.0,0.0627
斗门-上杨,116.339407053201,28.0305758312704,2.0,31.0,0.0521
斗门-廖家,116.338288215062,28.0317200847519,2.0,32.0,0.0666
斗门-陈家、胥家,116.341316027504,28.0341816413814,2.0,33.0,0.1
斗门-下李、廖家,116.347499163602,28.0338848344367,2.0,34.0,0.207
斗门-喻家,116.351741867268,28.0372584016191,2.0,35.0,0.096
中洲-西邓村,116.352025475481,28.0317397256324,2.0,36.0,0.0588
下李-龚张村6组,116.352017341368,28.0291074077008,2.0,37.0,0.081
下李-龚张7组,116.353475336642,28.0282068771598,2.0,38.0,0.084
中洲-后游邓,116.354960696205,28.0316451273298,2.0,39.0,0.111
中洲-头门村,116.360688179969,28.0301219773893,2.0,40.0,0.135
中洲-燕尾村,116.362495034477,28.0308177061826,2.0,41.0,0.081
中洲-黄家口,116.360374311654,28.0339150392206,2.0,42.0,0.123
艻口-上殷,116.358625327483,28.0398316527601,2.0,43.0,0.1329
艻口-下殷,116.355293887785,28.0432749655544,2.0,44.0,0.087
畲塘-汤家,116.355335884131,28.0447050196483,2.0,45.0,0.0498
畲塘-韩家,116.355419193561,28.0503393977543,2.0,46.0,0.066
蝉塘-廖家,116.387633485957,28.0882836163,3.0,1.0,0.2607
罗湖-章家,116.379173526622,28.0906580563226,3.0,2.0,0.186
罗湖-何家,116.377145248056,28.0918990966902,3.0,3.0,0.093
下饶-下饶,116.37014266217,28.0972447145391,3.0,4.0,0.1776
下饶-东甘,116.367782639102,28.0989371903924,3.0,5.0,0.0618
支村-陈孟,116.372508404041,28.1037708652417,3.0,6.0,0.1104
罗溪-罗家渡,116.380127182024,28.1094563799285,3.0,7.0,0.288
罗溪-栎壤,116.388356256096,28.1151778730596,3.0,8.0,0.1974
山背-八、九组,116.388350139557,28.13179285568,3.0,9.0,0.0792
山背-一、二、三组,116.38621090967,28.1336328621811,3.0,10.0,0.1932
山背-五、七组,116.383434284344,28.1313541132903,3.0,11.0,0.1329
山背-六组,116.384236864515,28.1296270190374,3.0,12.0,0.066
支村-傅坊,116.366324027867,28.1080007477382,3.0,13.0,0.1188
支村-支村,116.363223859297,28.107954442153,3.0,14.0,0.2373
支村-邱黄,116.359202260244,28.10820628723,3.0,15.0,0.075
下饶-黎家,116.362514156307,28.1009685388772,3.0,16.0,0.0507
下饶-西甘,116.364432008573,28.0991356155474,3.0,17.0,0.132
下饶-枧头,116.364518827,28.0943892969166,3.0,18.0,0.1347
观前-下易河湖,116.354848483172,28.0961621255777,3.0,19.0,0.156
官庄-官庄,116.354286297522,28.0905154126321,3.0,20.0,0.3672
华溪-袁家,116.361211260138,28.0908122986585,3.0,21.0,0.0606
华溪-万家,116.364470333798,28.0884903003402,3.0,22.0,0.1791
许家村-七-十组,116.374122307457,28.0811637681238,3.0,23.0,0.3099
许家村-三组,116.375988098879,28.0830442506313,3.0,24.0,0.2553
华溪-喻家蔡家,116.365753122343,28.0778010647063,4.0,1.0,0.1812
华溪-章杨,116.361852270133,28.0794587839883,4.0,2.0,0.1896
岗上-冷水,116.35557264681,28.0812086982525,4.0,3.0,0.27
烟墩-烟墩,116.348510388341,28.0804528255134,4.0,4.0,0.2328
铁堡-下邹,116.3434356707,28.0811943243509,4.0,5.0,0.0501
烟墩-岗上,116.343194016581,28.086421669709,4.0,6.0,0.1224
铁堡-田塅,116.33819368398,28.0817529193535,4.0,7.0,0.2334
铁堡-院下,116.336439913102,28.0803664413974,4.0,8.0,0.1227
畲塘-潘家,116.340928310141,28.0759022466537,4.0,9.0,0.0588
畲塘-汪家,116.336800971373,28.075534059415,4.0,10.0,0.0486
畲塘-饶家,116.332711530082,28.0730962957679,4.0,11.0,0.0534
龙湾-刘家,116.339931644753,28.0637688215249,4.0,12.0,0.0957
龙湾-张家,116.334662574823,28.0602815984107,4.0,13.0,0.0621
龙湾-辛家,116.34089697572,28.0533098027173,4.0,14.0,0.2601
龙湾-何家,116.350126022744,28.0581674530916,4.0,15.0,0.27
龙湾-饶家,116.346974087435,28.061967918257,4.0,16.0,0.093
畲塘-付家,116.349272489246,28.0685806024058,4.0,17.0,0.0767
