id,lng,lat,route,order,weight
松岗-寨上,116.546703035321,27.7806647105122,1.0,1.0,0.1752
松岗-下凰溪,116.538842558002,27.7781100036403,1.0,2.0,0.1158
凰溪-熊家村,116.524908066979,27.7807946891917,1.0,3.0,0.0876
凰溪-邹家村,116.519564754964,27.7808209069354,1.0,4.0,0.0444
石塘-天井头,116.5102544338,27.773858051622,1.0,5.0,0.0399
石塘-石塘,116.504782198747,27.7725924694365,1.0,6.0,0.1314
白浒窑-窑上,116.500537215802,27.7833562461274,1.0,7.0,0.054
石塘-药树亭,116.501045727035,27.7862231267259,1.0,8.0,0.0294
石塘-姚坊,116.495460308576,27.7793023807859,1.0,9.0,0.0363
新杨-板桥,116.495731641556,27.7745712665177,1.0,10.0,0.0414
新杨-新杨,116.49212330859,27.7715252573284,1.0,11.0,0.084
新杨-老杨,116.490073799231,27.7688740359379,1.0,12.0,0.0759
新杨-院背,116.484238829941,27.7679019059491,1.0,13.0,0.0594
新杨-西源,116.475090563759,27.7681005007643,1.0,14.0,0.0353
石池-八位坑5组,116.483948246664,27.7523654322523,1.0,15.0,0.0465
石池-石池3.7组,116.486585314205,27.7496327954673,1.0,16.0,0.06
石池-石池1.2.8组,116.487461102569,27.7479969417484,1.0,17.0,0.0966
石池-石池4组,116.488275539344,27.7470013715178,1.0,18.0,0.039
石池-小家6组,116.496298254147,27.7571026518579,1.0,19.0,0.0126
焦坑-坳上,116.504452260047,27.7582428656923,1.0,20.0,0.051
焦坑-大塘,116.505118684449,27.7483454639874,1.0,21.0,0.0894
焦坑-庵前,116.512353136118,27.7554116044031,1.0,22.0,0.027
焦坑-邹家皮,116.513887807915,27.7514226206118,1.0,23.0,0.057
焦坑-麻糍窑,116.516102828459,27.7500971188217,1.0,24.0,0.1236
陈家-样桥,116.521843947534,27.7500706339548,1.0,25.0,0.0279
陈家-周家,116.523988487669,27.751791857414,1.0,26.0,0.0216
陈家-山下陈家,116.52657210384,27.7478158084874,1.0,27.0,0.0594
墩上陈家,116.530133468899,27.7437303163435,1.0,28.0,0.075
陈家-尧坊,116.531318519303,27.7412845985837,1.0,29.0,0.0456
陈家-朝门里,116.532370156943,27.7398450249992,1.0,30.0,0.0636
白沙-汪家4,116.525682683648,27.7405406005601,1.0,31.0,0.2535
白沙-吴家,116.521402743526,27.7380782905558,1.0,32.0,0.0312
集源-福堂,116.511292883055,27.7229628601473,1.0,33.0,0.0471
谭下-何树肌,116.498158726846,27.7113479363096,1.0,34.0,0.018
谭下-塅背,116.49794382698,27.7095484399128,1.0,35.0,0.0324
谭下-谭下,116.494868673852,27.7009464783203,1.0,36.0,0.033
谭下-东源,116.501897619497,27.7000767625347,1.0,37.0,0.036
集源-李家1,116.5139524683,27.7124214287616,1.0,38.0,0.15
集源-曾家村,116.517872130306,27.7147390374348,1.0,39.0,0.033
白沙-曾家,116.534863918089,27.7343571431506,1.0,40.0,0.012
白沙-界山村,116.536893219017,27.7315752995939,1.0,41.0,0.0432
淇塘-管家,116.553445194842,27.734660478303,1.0,42.0,0.141
淇塘-淇塘,116.556098048158,27.7398337830485,1.0,43.0,0.084
淇塘-下刘,116.555229713757,27.7442654665915,1.0,44.0,0.144
淇塘-上刘,116.560834504892,27.7473549795375,1.0,45.0,0.0306
凰溪-岳伏,116.54492385163,27.7534813293996,1.0,46.0,0.0516
凰溪-何坑,116.531635095458,27.7610536368232,1.0,47.0,0.0558
腾桥-腾桥,116.521479566704,27.7624930569751,1.0,48.0,0.552
凰溪-上凰溪,116.531463983784,27.7706233559319,1.0,49.0,0.1278
松岗-松岗,116.54139993639,27.7687682201798,1.0,50.0,0.183
谢家-新坊,116.583580496648,27.7576675062155,2.0,1.0,0.1
鹏田-下傅,116.592182766355,27.7575812077138,2.0,2.0,0.1476
陈坊-坑田,116.589156176648,27.7453663592016,2.0,3.0,0.0576
楠木-乐家,116.605417067251,27.7514547189688,2.0,4.0,0.0867
楠木-东坪,116.611850805181,27.7547208799865,2.0,5.0,0.0879
楠木-楠木村,116.619524548769,27.7505565091834,2.0,6.0,0.153
符仓-符仓,116.612253608309,27.7329686346838,2.0,7.0,0.2031
于家-于家,116.635895919445,27.7205593798626,2.0,8.0,0.1581
楠木-廖坊,116.634581307018,27.7435675964863,2.0,9.0,0.1416
红官-游源,116.634524514728,27.7663028372501,2.0,10.0,0.054
红官-邹家,116.641915174486,27.7638149649806,2.0,11.0,0.057
红官-李家,116.645307529028,27.7663492917748,2.0,12.0,0.066
红官-占家,116.649644680957,27.7623103525261,2.0,13.0,0.027
红官-官厅,116.654421675605,27.7691960642256,2.0,14.0,0.063
红官-尺上,116.660298926143,27.7688818965499,2.0,15.0,0.087
水西-何家二组,116.655072173541,27.7759538813128,2.0,16.0,0.126
水西-何家一组,116.65380737419,27.7780845293332,2.0,17.0,0.114
水西-地头,116.657088959624,27.7807478778551,2.0,18.0,0.0774
水西-连家山,116.650810004157,27.7836767877455,2.0,19.0,0.114
肖家-张家,116.642839063266,27.7823701682632,2.0,20.0,0.1548
肖家-付家,116.638256386497,27.7897327775065,2.0,21.0,0.2067
肖家-中腰修家,116.63266507268,27.793857399972,2.0,22.0,0.0897
肖家-肖家,116.629422950744,27.7954561586955,2.0,23.0,0.117
肖家-曾家,116.627034390549,27.8009290130274,2.0,24.0,0.0357
荣阳-危周家,116.621361242608,27.7993910807157,2.0,25.0,0.0324
许坊-下排,116.610368642618,27.7993673346324,2.0,26.0,0.1776
许坊-上排,116.608893170065,27.8005945582088,2.0,27.0,0.1428
许坊-翻坊,116.604595836473,27.801531715597,2.0,28.0,0.0312
许坊-合头,116.616336116165,27.7921492176262,2.0,29.0,0.0306
里修-姚坊,116.612670534486,27.7841034352509,2.0,30.0,0.0654
里修-里修,116.617641320909,27.7765639193305,2.0,31.0,0.24
里修-东山下,116.611987235118,27.7704406441788,2.0,32.0,0.18
鹏田-彭家桥,116.601448989127,27.766236956732,2.0,33.0,0.0459
鹏田-鹏田,116.60055046033,27.7621320810094,2.0,34.0,0.3831
鹏田-王拓曾家,116.590638678168,27.7724156116961,2.0,35.0,0.0537
松岗-下寨,116.545870187875,27.7816244548229,3.0,1.0,0.0903
松岗-港背,116.537977874611,27.7877233633382,3.0,2.0,0.0825
四游-瑶边4组,116.515811940482,27.7966956462792,3.0,3.0,0.0669
四游-祠堂3组,116.516607129718,27.799507200138,3.0,4.0,0.0471
四游-文坊2组,116.512796335763,27.8006579246506,3.0,5.0,0.0549
四游-黄堂1组,116.508804984596,27.7967470582628,3.0,6.0,0.0993
桥下-打铁郑家,116.500843469407,27.8098887018396,3.0,7.0,0.0129
桥下-坪上游家,116.491231547991,27.8124760820603,3.0,8.0,0.0558
桥下-基桥吴家,116.493012140048,27.8062054971725,3.0,9.0,0.0678
石塘-龚家,116.494107495408,27.7972802116887,3.0,10.0,0.1275
石塘-全家,116.483386728585,27.7882194377525,3.0,11.0,0.012
新杨-张家,116.475748773114,27.7756281498528,3.0,12.0,0.04
下龚-撮斗科周家,116.465739703006,27.7898368842384,3.0,13.0,0.0204
下张-鹞源,116.447134074975,27.7956621286494,3.0,14.0,0.0756
下龚-上龚,116.4682005893,27.7928519285501,3.0,15.0,0.0786
下龚-中龚,116.470571636737,27.7956315628149,3.0,16.0,0.0591
下龚-下龚,116.470563085668,27.8002710121943,3.0,17.0,0.1086
