id,lng,lat,route,order,weight
戴家-上戴,116.142865186723,27.944859794321,1.0,1.0,0.2286
戴家-下戴,116.141352389826,27.9421269505223,1.0,2.0,0.2026
戴家-程家坡,116.132789953657,27.9392367052354,1.0,3.0,0.0306
城头-孙家英,116.132643135153,27.946727452509,1.0,4.0,0.0426
城头-浔江,116.132794260954,27.9493227732732,1.0,5.0,0.0888
城头-南边,116.12345166061,27.9447995301073,1.0,6.0,0.2115
城头-城头,116.122237148059,27.9520345069195,1.0,7.0,0.228
城头-坛溪,116.11255748319,27.9468025514699,1.0,8.0,0.072
新坪-新坪,116.111162136141,27.9416767145638,1.0,9.0,0.36
新坪-袁家村,116.103578048094,27.941016864796,1.0,10.0,0.02
新坪-曾家,116.100828320341,27.9319566338952,1.0,11.0,0.1368
渣溪-徐溪,116.110458399406,27.9221091359372,1.0,12.0,0.189
爪石-爪石,116.12110285372,27.9083114704594,1.0,13.0,0.36
林田-甘家,116.116700465895,27.8897574772076,1.0,14.0,0.1395
东源-下袁,116.119014504299,27.8860450891102,1.0,15.0,0.0205
东源-竹基,116.113305216102,27.8784181819378,1.0,16.0,0.02
东源-东源,116.122663709847,27.8825817523721,1.0,17.0,0.255
东源-南源,116.128902136967,27.8763806501804,1.0,18.0,0.0315
林田-王邓,116.138718902563,27.8916344218967,1.0,19.0,0.057
林田-罗家,116.131582596073,27.8922632902481,1.0,20.0,0.135
爪石-犁王,116.125934501591,27.9153281588811,1.0,21.0,0.0672
渣溪-渣溪,116.123678107726,27.9231714315158,1.0,22.0,0.21
渣溪-贾井,116.137374122276,27.9275519760179,1.0,23.0,0.072
栎江-栎江,116.156019799922,27.9235161440594,1.0,24.0,0.1089
古坪-大坂洋,116.150324920919,27.92970586017,1.0,25.0,0.1206
古坪-邹家程家,116.15230243163,27.9362484354886,1.0,26.0,0.1758
古坪-甘家,116.154972020192,27.9372929809159,1.0,27.0,0.2532
贺坊-贺坊,116.180185029677,27.9624301738112,2.0,1.0,0.192
梧溪-窑上,116.171511967255,27.9654475726819,2.0,2.0,0.114
梧溪-乌龟老,116.170790984068,27.9693987075572,2.0,3.0,0.108
三桥-南坑,116.161407780822,27.9733198154866,2.0,4.0,0.0751
梧溪-口头,116.163187472117,27.9682653549872,2.0,5.0,0.1095
荷垅-杨家,116.157392711819,27.9644595059175,2.0,6.0,0.05
荷垅-马家,116.162000244773,27.9601849709477,2.0,7.0,0.0511
荷垅-方家,116.166860704177,27.957132317468,2.0,8.0,0.0891
荷垅-新村,116.166323192257,27.9559474906703,2.0,9.0,0.096
荷垅-旧居,116.165855270743,27.9544685600821,2.0,10.0,0.0906
下周-下周,116.168987391696,27.9433082133783,2.0,11.0,0.15
老基-老基,116.161157592598,27.9429855160139,2.0,12.0,0.153
老基-新基,116.16052476687,27.9408019535315,2.0,13.0,0.108
老基-东岗,116.152379937574,27.9463495599579,2.0,14.0,0.0756
老基-饶家,116.153883933644,27.9478933768149,2.0,15.0,0.0594
老赵-坪上,116.14071706821,27.9585480338703,2.0,16.0,0.0858
老赵-老赵,116.140446224048,27.9655291777973,2.0,17.0,0.525
老赵-伍家,116.134436220314,27.9586232386459,2.0,18.0,0.096
城头四、五组,116.12333962263,27.9533862533443,2.0,19.0,0.24
新坪-边珠源,116.083226250279,27.9442459331648,2.0,20.0,0.0178
饶山-源坡口,116.110792017172,27.9573825418987,2.0,21.0,0.0396
饶山-周滨,116.111236171811,27.9622424971438,2.0,22.0,0.0495
饶山-饶山,116.109743477264,27.9701327606052,2.0,23.0,0.2172
饶山-周家,116.109897345357,27.9804828209343,2.0,24.0,0.093
洽源-洽源,116.126403592953,27.9845015233942,2.0,25.0,0.3888
新赵-秋源,116.138855187722,27.9846972152239,2.0,26.0,0.0558
新赵-新赵,116.145784438085,27.9859405216709,2.0,27.0,0.2052
三桥-罗坊,116.164974343988,27.98199314831,2.0,28.0,0.0619
三桥-桥西,116.167321634157,27.9790843558609,2.0,29.0,0.05
三桥-桥东,116.167448519252,27.9768143976316,2.0,30.0,0.05
三桥-新屋下、邓街,116.170287638066,27.9765187500627,2.0,31.0,0.0954
塘南-老三桥,116.171739809938,27.9792277461402,2.0,32.0,0.1494
塘南-塘南,116.176823058088,27.9787359834292,3.0,1.0,0.174
阳城-七坑,116.171331334749,27.9871663088567,3.0,2.0,0.0378
阳城-阳城,116.169475708797,27.9952175160331,3.0,3.0,0.3666
江源-渣树林,116.161290279393,28.00338000454,3.0,4.0,0.05
江源-下曾,116.152188211751,28.0073585414737,3.0,5.0,0.086
江源-上曾,116.146553393295,28.007363590299,3.0,6.0,0.1
新赵-厂里,116.144649031053,27.9961926492968,3.0,7.0,0.0198
塘头-塘头,116.133981293331,28.0020363111356,3.0,8.0,0.258
塘头-上王,116.128756937913,28.002313819024,3.0,9.0,0.058
塘头-饶山下,116.125614086712,28.0043091675397,3.0,10.0,0.05
黄源-焦坑,116.134790871204,28.0310966140388,3.0,11.0,0.0369
黄源-杨梅,116.140280527533,28.0456834650237,3.0,12.0,0.0624
黄源-杜溪,116.142480622976,28.0470101261,3.0,13.0,0.1017
黄源-里泽,116.15004824321,28.0460316628237,3.0,14.0,0.0207
黄源-黄源,116.15438488057,28.0394385082835,3.0,15.0,0.0501
黄源-东房,116.155790509297,28.0352299740311,3.0,16.0,0.0708
黄源-外毛坑,116.147373578292,28.0235329015155,3.0,17.0,0.2097
黄源-坳上,116.152042245237,28.0166571324043,3.0,18.0,0.0372
江源-王狮坑,116.160245371836,28.0128554357096,3.0,19.0,0.0418
金龙-炉坊,116.1703163982,28.0137613734296,3.0,20.0,0.0304
金龙-北坑,116.184539861755,28.0118101849384,3.0,21.0,0.05
金龙-西源,116.187688327703,28.0137358175726,3.0,22.0,0.0895
金龙-珀玗,116.179309283478,28.0180297822792,3.0,23.0,0.102
金龙-东坑,116.173648066084,28.0236398835363,3.0,24.0,0.05
黄源-里毛坑,116.163555173062,28.0263971230602,3.0,25.0,0.0906
东坊-田西坑,116.170884377722,28.0374697285448,3.0,26.0,0.0345
东坊-铁前村,116.179889370783,28.0419220128262,3.0,27.0,0.0942
东坊-王家庄,116.179208163279,28.0331812192733,3.0,28.0,0.093
东坊-缺坊,116.186098620543,28.0316011249887,3.0,29.0,0.081
东坊-源头,116.202645358087,28.0340856616485,3.0,30.0,0.1494
温泉-李家,116.215256555471,28.0289326478206,3.0,31.0,0.0657
青莲山-明水,116.204724702276,28.0130428999724,3.0,32.0,0.0366
温泉-余山,116.216110538308,28.013207336637,3.0,33.0,0.0567
青莲山-山下,116.223927296992,28.0053273934583,3.0,34.0,0.0708
青莲山-罗家岭,116.221208746594,27.9983202864707,3.0,35.0,0.0558
青莲山-范源,116.215259630819,27.9923334754008,3.0,36.0,0.108
杨源-桐山坪,116.207396789026,27.9857716982518,3.0,37.0,0.0414
杨源-塅溪,116.20703928573,27.9836238836083,3.0,38.0,0.0855
桐山-桐山,116.197012973705,27.9860863930466,3.0,39.0,0.3123
桐山-塘家岭,116.19297897327,27.9897073747796,3.0,40.0,0.0594
塘南-合和,116.188436204948,27.985294483912,3.0,41.0,0.0963
塘南-三山,116.188885448537,27.9803780992882,3.0,42.0,0.1788
贺坊-东坑,116.18459919611,27.9687406783953,3.0,43.0,0.093
城坡-城坡,116.20104698802,27.9662335954969,4.0,1.0,0.3087
流溪-流溪,116.209573026496,27.9669214249192,4.0,2.0,0.393
杨源-杨源,116.21644004694,27.971374716246,4.0,3.0,0.315
杨源-塔石,116.208636714668,27.9787148756475,4.0,4.0,0.1467
六岭-灌塘,116.227312734849,27.9791326262956,4.0,5.0,0.1386
六岭-杨家桥,116.231379937899,27.9892371921135,4.0,6.0,0.084
温泉-张家,116.224095937611,28.0241172404877,4.0,7.0,0.0864
温泉-南西,116.227855827213,28.0161651403948,4.0,8.0,0.0744
六岭-六岭,116.237888599107,27.9899631330301,4.0,9.0,0.177
六岭-五虎晏,116.240054290269,27.986126661454,4.0,10.0,0.0867
余坊-邱家,116.238418713492,27.9750047751424,4.0,11.0,0.153
余坊-城上,116.239494473939,27.9713287633228,4.0,12.0,0.126
余坊-余坊,116.234086580784,27.9692252915435,4.0,13.0,0.324
祝坊-余里红,116.236356139071,27.9603092978044,4.0,14.0,0.0645
祝坊-刘坊,116.244079865411,27.9603402560458,4.0,15.0,0.051
