id,lng,lat,route,order,weight
陈园-汤家,116.349767920612,27.7245014208688,1.0,1.0,0.0615
廖坊-廖坊,116.34314037026,27.7100712971039,1.0,2.0,0.0828
廖坊-上阳,116.354829197178,27.7007400212425,1.0,3.0,0.0636
廖坊-赵家,116.339198346125,27.6930288006615,1.0,4.0,0.0288
廖坊-陈张,116.343650274306,27.6812369132102,1.0,5.0,0.0246
排上-危家,116.360255416593,27.6927568069422,1.0,6.0,0.0123
排上-符家,116.369065017952,27.6927350012601,1.0,7.0,0.0051
排上-下湾,116.376756878061,27.6937087766319,1.0,8.0,0.0093
排上-排上,116.380688648245,27.6908923275569,1.0,9.0,0.0153
排上-汪叶,116.388724750094,27.6925452480288,1.0,10.0,0.0165
旨荣-地藏寺,116.402426463793,27.6916893607088,1.0,11.0,0.0111
旨荣-下窠刘家,116.411955002261,27.6935062591106,1.0,12.0,0.0099
旨荣-周家,116.408608460805,27.6892520614594,1.0,13.0,0.012
旨荣-田西,116.412394923252,27.6756062041239,1.0,14.0,0.0114
旨荣-艾家排,116.418334340573,27.6720124259854,1.0,15.0,0.0204
旨荣-源里,116.416580944275,27.6692666653655,1.0,16.0,0.0162
旨荣-源里西排,116.417563612945,27.6662174301908,1.0,17.0,0.0126
娄家-娄家,116.448752546889,27.6662495657904,1.0,18.0,0.0135
娄家-塅背,116.4531415903,27.6683193665912,1.0,19.0,0.0126
娄家-饶子华,116.454664669061,27.6639654312696,1.0,20.0,0.0132
娄家-大阳斜,116.453664456806,27.6619290495934,1.0,21.0,0.0054
南际-里南际,116.472786590955,27.6616852452607,1.0,22.0,0.0405
南坑-南坑,116.473847418453,27.6614211798079,1.0,23.0,0.03
南际-外南际,116.479242673026,27.6618788562256,1.0,24.0,0.051
大雷-朱家源,116.47652329631,27.6447110146056,1.0,25.0,0.0156
大雷-大雷,116.462545564139,27.6416368622498,1.0,26.0,0.0135
大雷-安山,116.454067255471,27.6348603346963,1.0,27.0,0.0129
小雷-大泉,116.450322080811,27.6314468469524,1.0,28.0,0.0195
小雷-下小雷,116.459128996879,27.6259635245485,1.0,29.0,0.0108
小雷-上小雷,116.461416469197,27.6241152777838,1.0,30.0,0.0126
小雷-坑口,116.456613763441,27.6210986431484,1.0,31.0,0.0072
小雷-余坊,116.467068465056,27.6058832198474,1.0,32.0,0.0093
山陂-港下,116.470462202233,27.5640627369328,1.0,33.0,0.0276
山陂-怡乐,116.46571196059,27.5624153380662,1.0,34.0,0.0522
山陂-许家山,116.467168585076,27.5585159682552,1.0,35.0,0.0201
山陂-茶坑,116.470405145648,27.5489315727568,1.0,36.0,0.0576
山陂-梅树舍,116.479246306231,27.5215605109646,1.0,37.0,0.0186
山陂-上山,116.495366133488,27.5306244991789,1.0,38.0,0.1056
山陂-旱田,116.492262639176,27.5427388256534,1.0,39.0,0.0249
山陂-山陂,116.489411920502,27.55125815348,1.0,40.0,0.0975
泽泉-石狮头,116.498340724725,27.5700310326311,1.0,41.0,0.1386
泽泉-泽泉,116.502410258347,27.5780929252777,1.0,42.0,0.2181
泽泉-下中源,116.49770975321,27.5791210239957,1.0,43.0,0.0267
泽泉-桐木,116.497530190721,27.5853852653922,1.0,44.0,0.0585
泽泉-小岭,116.517631536505,27.5871177963389,1.0,45.0,0.0288
泽泉-黄连坑,116.494784696005,27.5993535966893,1.0,46.0,0.0477
庄前-小枥,116.491580291761,27.6231357011107,1.0,47.0,0.0441
庄前-刘家源,116.50396424138,27.6272283142542,1.0,48.0,0.0885
庄前-庄前,116.510112236098,27.6320012546174,1.0,49.0,0.0666
茅排居委会,116.517810694367,27.6296149619341,1.0,50.0,0.099
茅排-茅排,116.518040516547,27.6285139917503,1.0,51.0,0.0696
茅排-坪中山,116.516451762401,27.6213127903055,1.0,52.0,0.0852
茅排-沙坪,116.527640827058,27.6295210595251,1.0,53.0,0.0324
茅排-东坑,116.522793085769,27.6305896466206,1.0,54.0,0.0534
茅排-黄家塅,116.515702663888,27.6346439669254,1.0,55.0,0.0423
茅排-黄家,116.514455849188,27.6371215545074,1.0,56.0,0.0423
茅排-东源排,116.513395786698,27.6415103744149,1.0,57.0,0.0732
茅排-里外科,116.515320047866,27.6464352250163,1.0,58.0,0.0456
庄前-太平排,116.507225481383,27.6406180672363,1.0,59.0,0.0336
