id,lng,lat,weight,serviceTime
东溪-邓家,116.281725957609,27.8590114336765,0.1374,5
梓溪-赵家,116.285077618112,27.8542390958856,0.1056,5
上阳-洲上,116.279265521346,27.8514260472752,0.1851,5
上阳-下阳,116.279797965538,27.8482506994984,0.243,5
上阳-上阳,116.282581408375,27.8455505375058,0.2106,5
上阳-余家,116.286214185898,27.8429574129748,0.1695,5
吴家店-来头岗,116.282690925271,27.8368963646343,0.1176,5
吴家店-吴家店,116.278279918706,27.840496866968,0.3633,5
吴家店-炉下,116.275266347727,27.834823771934,0.1749,5
洪坊-洪坊,116.273986539919,27.8253013362274,0.4299,5
洪坊-吴家,116.277048482621,27.8268025187863,0.1815,5
邱坊-马岭,116.295527637447,27.8336564287015,0.1512,5
邱坊-茂源,116.298231919618,27.8248525130656,0.0474,5
邱坊-彭源,116.316370235529,27.8168029261163,0.0825,5
大路-许坊陂,116.315913392058,27.8384151861586,0.0789,5
大路-撮斗科,116.310056319775,27.8430367177967,0.1434,5
大路-黄司,116.301364415457,27.8411765431567,0.072,5
大路-团溪桥,116.305205768458,27.8500807515977,0.1494,5
大路-大路,116.308840055403,27.8550042529839,0.1071,5
梓溪-皱家,116.292093521774,27.8622135607512,0.6852,5
梓溪-吴家,116.288947765752,27.863307266283,0.1326,5
罗田-许家,116.287460127692,27.8776330373541,0.174,5
李家-周家,116.291615017998,27.873874427804,0.2385,5
李家-中李,116.295634071077,27.8741321173571,0.0726,5
李家-上李,116.297805667601,27.8714749839009,0.2253,5
大升-榨下,116.302615854499,27.8770418694751,0.138,5
大升-谢家,116.307472038353,27.8763051362802,0.1818,5
大路-山头铺,116.306261109449,27.8625984555402,0.1125,5
梓溪-油榨下,116.294083697971,27.8661666950906,0.0906,5
梓溪-吴金,116.287961015338,27.8645519475528,0.1164,5
博溪-乌石,116.287304687586,27.8094391079742,0.1956,5
头昌-李针,116.32259623388,27.8514290068277,0.0906,5
金房-金房,116.323736851806,27.8626908222778,0.2526,5
头昌-大桥,116.325683878411,27.8590248921793,0.408,5
头昌-鲍家,116.328987847473,27.8566116256929,0.0534,5
头昌-下坡,116.332398213071,27.8547060894835,0.0201,5
头昌-北坑,116.340977531177,27.8538891751509,0.0186,5
舍头-廖家,116.34404737876,27.866761189506,0.1053,5
舍头-舍头,116.331849097552,27.8787795171799,0.1368,5
金房-丰塅,116.326018188469,27.8689048275043,0.04,5
金房-朱司,116.321111707683,27.8702258193805,0.04,5
金房-石塘,116.318041651859,27.8759007883342,0.0325,5
曾家油榨下,116.317653292922,27.8800286224729,0.1386,5
后坊-全坊,116.309902179028,27.8890666550269,0.102,5
后坊-前刘,116.311042389348,27.8916258967741,0.177,5
黄湾-下黄,116.302159472627,27.889186205405,0.147,5
黄湾-上黄,116.301978425208,27.8858035146899,0.156,5
大升-老余,116.300021125835,27.8828600157058,0.129,5
大升-黄邓,116.29925755526,27.8819205631476,0.0468,5
大升-肖家,116.297117701704,27.8795721594061,0.081,5
大升-新余,116.296633379593,27.8814734466943,0.144,5
下庄-杨家,116.293514753664,27.885101755181,0.0789,5
石鼓-杨铁,116.308219205265,27.9095768781166,0.1272,5
石鼓-石鼓,116.311291000768,27.9080220298702,0.252,5
下城-颜坊,116.31820760754,27.9037928781325,0.0858,5
下城-江家,116.3284184475,27.9049857518657,0.1737,5
下城-吴家,116.328545362148,27.907239942533,0.1737,5
下城-娄家,116.328144382436,27.9098242099098,0.0507,5
下城-源头,116.340062355225,27.9103959324359,0.1092,5
东殿-程家合,116.333909026982,27.9206868107362,0.0285,5
东殿-胡家,116.331257675829,27.9193067155982,0.0594,5
城上-城上范家,116.326325845802,27.9204685161152,0.1956,5
城上-邱家,116.325656634836,27.9156498211746,0.069,5
城上-城上周家,116.323334991042,27.9160438720559,0.0429,5
城上-角上饶家,116.321372022085,27.9186513931321,0.0462,5
山头-韩家,116.319715286916,27.922514988429,0.0996,5
城上-白马庙饶家,116.325127131927,27.925530536175,0.0765,5
东殿-石狮口,116.330509139316,27.9299992882571,0.0306,5
笠上-上周,116.331003833327,27.9316609477468,0.0819,5
东殿-东殿,116.334872511512,27.9293163024692,0.1899,5
东殿-王家仓,116.338107995159,27.9342726223092,0.0216,5
笠上-南山,116.3378449745,27.9394171605393,0.0591,5
笠上-浮堆,116.329776381414,27.9375357634891,0.0906,5
笠上-胥郭,116.330438309571,27.9355691701746,0.0552,5
笠上-玔口,116.328570512412,27.9352259418973,0.0762,5
笠上-笠上,116.324521447791,27.9326117778564,0.1053,5
笠上-杏玔,116.319802274588,27.9362862733446,0.0798,5
笠上-陂头,116.316537456385,27.933207783424,0.1122,5
山头-刘邓邹家、翁家桥,116.313490208097,27.9262865215653,0.2244,5
山头-吴家,116.31302837667,27.9236123220969,0.2568,5
石鼓-尧家,116.313740271545,27.9156279427572,0.138,5
石鼓-杨家,116.309177336898,27.9157932313674,0.1638,5
山头-涂家,116.308019288219,27.9227793958072,0.0885,5
林源-林源,116.303233851238,27.9212034085812,0.4359,5
园石-黄司,116.288638905416,27.8994114327138,0.1563,5
仓下-黄舍,116.284407480404,27.9207070993236,0.0216,5
仓下-欧阳,116.289980612494,27.9228356480297,0.0759,5
仓下-述溪,116.291634508769,27.9228192785346,0.0723,5
林源-新庄,116.298091665307,27.9281104191447,0.05,5
林源-洲上黄家,116.297040710132,27.9226659228475,0.0321,5
林源-排上黄家,116.299042376232,27.921066871152,0.0321,5
林源-庙下黄家,116.298274576517,27.9193311486689,0.0321,5
林源-港下范家,116.294904168876,27.9186703458385,0.1686,5
林源-华家,116.295063212375,27.91500551936,0.0501,5
林源-罗坊,116.29493012956,27.9136368788362,0.1542,5
仓下-吕坊,116.294282009066,27.9060869146587,0.3918,5
黄湾-洲上,116.299942918106,27.9016054250872,0.088,5
黄湾-窑上,116.302994618293,27.9009120142205,0.05,5
石鼓-吴艾柳湾,116.30357800942,27.9042122370562,0.1203,5
后坊-李家园,116.308018888804,27.8999063985809,0.078,5
石鼓-上舍,116.312745661437,27.9026025339809,0.1674,5
后坊-华家,116.314631316093,27.902597053264,0.093,5
皱家-皱家,116.327539124688,27.9013967367582,0.4458,5
安全-邹家,116.330227057441,27.9016630348324,0.078,5
下舍-下全,116.345321387394,27.9024423232903,0.0966,5
下舍-上全,116.343497267905,27.8892680336257,0.0232,5
下舍-荣斯桥,116.348628375238,27.8856811863026,0.02,5
舍头-封家,116.343716609438,27.8773854137201,0.135,5
下舍-章家,116.341793868305,27.8807401861057,0.1038,5
下舍-下舍,116.340205070651,27.8896857662039,0.0864,5
连城-胡头,116.322589269256,27.896349055008,0.117,5
后坊-背刘,116.311978312563,27.8934582670252,0.09,5
黄湾-黄铁湾,116.302231080286,27.8942577392199,0.333,5
下庄-下庄,116.293856677444,27.8887216614885,0.3126,5
下庄-古罗坪,116.290484752422,27.8864925539762,0.0804,5
罗田-榨下,116.286632342598,27.8840822869987,0.129,5
刘家-刘家,116.252279948807,27.9296251554034,0.0948,5
乐家-巷口,116.261615621199,27.9320885257354,0.1086,5
乐家-里阮,116.26263034902,27.9334333980624,0.1134,5
乐家-阮家,116.259970024491,27.9357085834199,0.0594,5
乐家-乐家、姚家,116.261508374021,27.9366840017917,0.1128,5
乐家-胡家,116.267449813952,27.9368493975556,0.0327,5
乐家-桥头,116.272432816761,27.9366437034537,0.03,5
东梁-黄家,116.273054808453,27.9438838444973,0.0585,5
梁宪-尧官城,116.27674892814,27.9477802440559,0.05,5
东梁-东梁,116.272233947065,27.9493624715646,0.1164,5
东梁-下屋,116.269014932245,27.949233778673,0.0795,5
东梁-上屋,116.266085531314,27.9484306055096,0.0618,5
西廨-朱家,116.266884697728,27.9435329738635,0.1,5
西廨-邱家,116.259396268392,27.9469880080163,0.0681,5
西廨-西家渡,116.259619633838,27.9451056617266,0.0777,5
西廨-上屋吴,116.260259882064,27.9434583245845,0.0497,5
西廨-桥头吴、段里吴,116.260120313631,27.9413703725365,0.1029,5
乐家-彭家,116.25851768579,27.9401753683605,0.1467,5
刘家-徐程,116.252477224617,27.9382184996144,0.1074,5
刘家-新居上,116.248521975182,27.9391154632772,0.0588,5
祝坊-朱皮,116.24812784813,27.9434860605511,0.0609,5
祝坊-磨下,116.24843378274,27.9520763026336,0.162,5
西廨-郑家、郭家,116.260213724012,27.954889578324,0.045,5
杨家-上杨,116.263822857973,27.9586924542481,0.0462,5
杨家-九房,116.263648084483,27.9602867083944,0.0603,5
杨家-七房,116.265538600537,27.9593893059131,0.0942,5
杨家-前下杨,116.267272266255,27.9616918504671,0.1026,5
杨家-背下杨,116.268179723012,27.9605113024313,0.0426,5
东梁-付家,116.270408117203,27.9535854520845,0.0801,5
东梁-梁道,116.271840811637,27.9530450277946,0.0876,5
梁宪-祝家,116.275534680807,27.9560538433437,0.0753,5
梁宪-梁宪,116.279354408811,27.9525875461279,0.0354,5
梁宪-付家,116.283660969372,27.9503324279454,0.0307,5
梁宪-陈家山,116.282672507112,27.946784062933,0.05,5
丁家-大路丁家,116.282177345614,27.9416443744108,0.0852,5
丁家-塘城丁家,116.285232949755,27.9407327392865,0.0642,5
丁家-熊家,116.289450154595,27.9400464447164,0.2064,5
河西街-李家,116.296478106794,27.9434824497082,0.0468,5
河西街-河西街,116.297940357556,27.9426150396968,0.1206,5
河西街-黎家,116.295982433317,27.9394960905615,0.1056,5
河西街-罗家,116.297143493335,27.9373620239315,0.072,5
河西街-下黄,116.293531473009,27.935619052973,0.0534,5
丁家-黄锡村,116.282594737466,27.9346977139736,0.2961,5
仓下-阮家,116.274001951563,27.9281403531111,0.0207,5
仓下-杉岭,116.267859515109,27.9245708402313,0.0492,5
仓下-詹司,116.266110687476,27.9186666157506,0.0687,5
仓下-七里源,116.259427272098,27.9074037343582,0.0498,5
仓下-仓下,116.262811808854,27.9150378355218,0.0792,5
塘湾-下程,116.251941014315,27.9234862132247,0.2796,5
塘湾-中程,116.247784389631,27.923879192235,0.3072,5
塘湾-胡家,116.24604594968,27.9186473540016,0.0312,5
塘湾-戈家,116.244403193633,27.9145558980849,0.0672,5
曾家-吴家,116.242007998161,27.9145223200064,0.0774,5
曾家-刘家,116.240400037598,27.9186347204534,0.1806,5
曾家-曾家,116.235072060676,27.9160691217892,0.1836,5
曾家-詹家,116.230296431712,27.9129089278689,0.0957,5
曾家-万家,116.229797326752,27.9198979799782,0.0482,5
曾家-杨树湖,116.233783154595,27.9207138295605,0.03,5
曾家-戴家,116.236876650211,27.9223787193536,0.04,5
官田-张家,116.229018958349,27.9285707758777,0.1617,5
官田-潘黄,116.231065387921,27.9319950671819,0.0864,5
官田-熊司,116.226801299113,27.9348366973522,0.0198,5
官田-岗上,116.23768449515,27.9412309444005,0.024,5
林源-招塘,116.300295695667,27.9323700120747,0.0742,5
园石-园石,116.281183710393,27.8872458222117,0.3744,5
园石-上章,116.28147994952,27.8840374100358,0.0924,5
罗田-花家,116.287309463363,27.8805162608355,0.1374,5
罗田-曾家,116.285153103521,27.8803830675893,0.1854,5
东溪-詹家洲,116.278679744364,27.8734982767123,0.0798,5
东溪-东溪洲,116.279019957261,27.8660259329944,0.5979,5
棠溪-棠铺涵,116.269207322925,27.866051738635,0.2166,5
棠溪-瓦脊上,116.267187900342,27.8683788150345,0.1095,5
棠溪-里黄,116.264655923666,27.8712358586164,0.0828,5
棠溪-章家,116.27034272083,27.8710003816139,0.1074,5
新积-老街区,116.416387267613,28.0832711518679,0.1017,5
新积-新街区,116.418235511745,28.0817332527824,0.0927,5
里士,116.421516215111,28.0807619148734,0.1497,5
何家-山赛山,116.433617001351,28.086154715714,0.0309,5
何家-郑家,116.437137205359,28.0825874414884,0.156,5
何家-吴城桥,116.434159888871,28.079460023557,0.1506,5
何家-何家,116.434156336213,28.0755778181595,0.066,5
何家-黄山,116.432363776761,28.0707807766773,0.069,5
樟溪-樟溪,116.425272853686,28.0662403190706,0.483,5
雷溪-下塘组,116.437090730364,28.0643889288519,0.2133,5
雷溪-雷溪,116.438639471756,28.0688112300857,0.147,5
宋家-汪洋,116.448158805358,28.0711409858383,0.0636,5
宋家-前宋,116.446526599363,28.0767812033589,0.264,5
宋家-后宋,116.445603613711,28.0802615902202,0.1224,5
黄铁-西源三、四组,116.452914040237,28.080592965895,0.1485,5
黄铁-西源-一、二组,116.451399240862,28.0831494809746,0.1254,5
黄铁-源头五组,116.456160750008,28.0894205502072,0.117,5
何坊-沙坑组,116.463446273537,28.0896586147637,0.0891,5
牙背-牙背一组,116.475180294124,28.1101358529716,0.105,5
牙背-胡家一、二组,116.469705853548,28.1137210484589,0.129,5
牙背-李家湾村,116.469233793135,28.1118080483193,0.105,5
何坊-下陈,116.461587123823,28.100221741346,0.1095,5
何坊-上陈,116.46131589541,28.0968529237303,0.1044,5
黄铁-前、后洪,116.450329984821,28.0901703173346,0.1245,5
黄铁-杨家组,116.446001561111,28.0903864141473,0.09,5
黄铁-上徐组,116.441502345773,28.0944104664099,0.033,5
墩上-墩上,116.42553086304,28.0904858812191,0.2112,5
新积-上章,116.416401900814,28.0871057508124,0.1212,5
艻口-阮家村,116.37208056354,28.0460644803328,0.0627,5
艻口-刘邱村,116.373587603719,28.0445766855513,0.063,5
艻口-上张村,116.373129125179,28.0431481228347,0.0573,5
艻口-下张,116.367807279591,28.045043959804,0.0546,5
艻口-湖西,116.368346693542,28.0377054298922,0.1356,5
艻口-湖东村,116.370119460103,28.0389002315823,0.1293,5
庙东-渡口村,116.384204407605,28.0332728440352,0.0789,5
下璜-周家,116.379133976692,28.0288846505189,0.0648,5
下璜-王家,116.378028592252,28.0286750956853,0.1113,5
下璜-李家2组,116.37634495265,28.0299225120286,0.0648,5
下璜-饶家,116.374893033593,28.0291099712249,0.1104,5
下璜-汤家,116.374445126917,28.0283679506701,0.081,5
下璜-李家3组,116.37387641871,28.0309283693979,0.081,5
中洲-杨家村,116.367308238281,28.0282765166597,0.111,5
中洲-周龙村,116.366286836896,28.0237150101982,0.12,5
中洲-赵家口,116.361348448302,28.0224130440803,0.105,5
下李-徐李村,116.353955190814,28.0196925693592,0.072,5
下李-下李4组,116.350942560393,28.021546160582,0.15,5
下李-下李3组,116.350832811111,28.0241024052911,0.048,5
下李-胡家,116.345845686782,28.02432133652,0.0891,5
