id,lng,lat,weight,serviceTime
周坊-双溪,116.343755003269,28.1822619637567,0.1074,5
周坊-七都,116.344508691353,28.1870839367802,0.1188,5
玔上-长岗胡家,116.342222377046,28.2009567598254,0.123,5
玔上-岭前,116.327386068979,28.1965123294281,0.066,5
玔上-游家圈,116.32475267545,28.1965543746668,0.039,5
玔上-周家,116.32343742431,28.2012110137838,0.1395,5
玔上-尧家,116.325475830388,28.2036172769073,0.0894,5
玔上-汤家,116.326863818894,28.2022048292384,0.0828,5
玔上-吴家,116.331151024324,28.2042520576607,0.0534,5
洋坊-二-六组,116.328170826171,28.2173828427918,0.3228,5
韩梅-韩家,116.343273199857,28.2157395885585,0.2061,5
韩梅-梅喻,116.347325970418,28.2173941690473,0.1674,5
韩梅-王家,116.352133594112,28.2237343145439,0.0666,5
韩梅-界岭,116.359651189324,28.2265496776301,0.0978,5
洋坊-东塘,116.343855391904,28.2271838397317,0.1455,5
梅坊-杨坊,116.330585389942,28.2504436726847,0.033,5
梅坊-四位,116.319861427264,28.2433494696946,0.057,5
梅坊-八位,116.326154451999,28.2382325604868,0.36,5
梅坊-藕坊,116.320034552808,28.2307367777984,0.084,5
游源-上万,116.304525095278,28.2202165460115,0.138,5
游源-中万,116.306807830652,28.2198127063659,0.054,5
游源-下万,116.307765183168,28.2182086328633,0.129,5
游源-下午,116.306934019094,28.2161132695944,0.108,5
游源-上午,116.304350722022,28.2175997530888,0.087,5
甘坡-林头垄,116.293100971918,28.2084435493534,0.0438,5
龚何-何家,116.292443896684,28.1956507585589,0.12,5
甘坡-金谭坡,116.305885982719,28.2017448677529,0.2436,5
甘坡-王头都,116.312100444872,28.2003071971111,0.0426,5
甘坡-五里墩,116.315495794573,28.201229784275,0.2448,5
甘坡-下付,116.30989980815,28.1975269957196,0.1104,5
甘坡-上付,116.312204401539,28.1962193544042,0.0417,5
云山-老街,116.310546370946,28.1795922404551,0.174,5
东湖-西阳,116.304301756514,28.1520574103427,0.096,5
东湖-东阳王家,116.307336287805,28.1544884954585,0.294,5
东湖-下阳,116.303919963365,28.1574822101958,0.138,5
石洋-上坊,116.292388547749,28.1590863137541,0.2559,5
石洋-田塅万家,116.283766994605,28.1632045863716,0.1566,5
石洋-下坊,116.29297776983,28.1613195894981,0.2097,5
杨泗-坪上,116.300490922969,28.1665600802222,0.0384,5
杨泗-东坑,116.299079064824,28.1744266102779,0.081,5
杨泗-杨泗,116.294853072366,28.1729158578838,0.027,5
杨泗-松溪,116.294691636057,28.1742790453216,0.177,5
龚家-外廖家,116.279262714403,28.1832724249211,0.03,5
龚家-廖家,116.279381468639,28.1854958987645,0.1395,5
龚家-龚家,116.280710952039,28.1875184551274,0.1314,5
龚家-新居,116.285675759942,28.1892455527775,0.024,5
大源-大源村,116.272631179409,28.2039512029381,0.216,5
大源-蔡家,116.264879684794,28.2034033430741,0.108,5
库前-库前,116.256756296691,28.198785714246,0.1032,5
库前-王坑,116.254598788765,28.1927781258741,0.2355,5
库前-灌坑,116.24601372567,28.1922329853429,0.1167,5
库前-琵琶山,116.252472952611,28.1837070366211,0.0756,5
长湖-梅渡周家,116.264189809953,28.1551559946713,0.0708,5
长湖-下施家,116.269781183144,28.1538999398245,0.1275,5
长湖-龚家,116.273976275349,28.151654610218,0.2682,5
长湖-下周华,116.275028022939,28.1486298003793,0.0783,5
长湖-桥头魏家,116.272780060536,28.1495694461158,0.0654,5
新徐-胡玉玺,116.268303677516,28.1452431830586,0.0999,5
新徐-上施,116.268712009102,28.1431872420149,0.0324,5
新徐-周石灰,116.269611926632,28.1413651917044,0.1278,5
长湖-上周华,116.278950614974,28.1446818149015,0.0273,5
石洋-和尚芜周家,116.280026967201,28.1501557160888,0.066,5
石洋-北岸徐家,116.285880724416,28.1497209494392,0.0801,5
东湖-泉湖刘,116.296645402136,28.1470902722897,0.27,5
白水-付英,116.326745305252,28.1386200292596,0.0828,5
花洲-花田,116.338985998144,28.1421553409751,0.0657,5
南光-周家,116.340220098536,28.1547265641265,0.0858,5
南光-鄢家,116.344559564929,28.1537730564189,0.0816,5
南光-邓坊,116.351568683666,28.1598737714977,0.0801,5
骆仙-梅盛坑,116.355523123304,28.1656026099409,0.045,5
肖坊-陈家巷,116.363629724073,28.162281298999,0.162,5
科溪-观前,116.37973627531,28.1556926783461,0.153,5
肖坊-炉铁,116.369989757779,28.1610491884134,0.051,5
肖坊-肖家,116.366279163242,28.1650545104243,0.1278,5
骆仙-骆仙,116.366522003413,28.1761240914294,0.123,5
骆仙-玗上,116.37006104923,28.1847331517287,0.228,5
周坊-上周坊,116.356280107805,28.1893393735549,0.0708,5
骆仙-骆源,116.355333151988,28.174529277781,0.081,5
南光-罗家,116.337592836679,28.1607698034443,0.0882,5
欧湖-上高,116.335201549319,28.1682445556491,0.087,5
水田-下高,116.334393781158,28.1717902786358,0.093,5
水田-水田,116.328441734207,28.1758867476476,0.255,5
欧湖-庙家,116.322470445505,28.1689750759987,0.084,5
欧湖-欧湖新村,116.317691953583,28.1680766553867,0.216,5
欧湖-株山,116.32230457756,28.1663061493825,0.09,5
鄢坊-周古岭,116.327453384641,28.1663586749953,0.06,5
鄢坊-潘家,116.327101824118,28.1601788002884,0.108,5
鄢坊-黄家,116.331161181159,28.1594962889527,0.072,5
鄢坊-四房,116.331120234517,28.1568865237046,0.12,5
鄢坊-军湖,116.329711808395,28.1549668768766,0.108,5
鄢坊-鄢家,116.327394654355,28.1575450842451,0.144,5
蔡家-下蔡,116.319705900588,28.1542321769407,0.1206,5
蔡家-胡家,116.319445681915,28.1560148810839,0.0276,5
蔡家-刘家,116.318301728501,28.158040536861,0.1242,5
蔡家-鄢家,116.314218007168,28.1575661349623,0.0276,5
蔡家-胡家山,116.314738977606,28.1533953579394,0.0555,5
蔡家-罗家、上蔡,116.318976119675,28.1511337142775,0.1353,5
白水-娄下,116.323917395676,28.1445682815858,0.2376,5
白水-许家,116.318289387143,28.1373274367652,0.2412,5
张家-樟坊,116.265949095001,28.1189255457786,0.186,5
张家-刘万徐,116.258618199878,28.1246645750538,0.1518,5
张家-老付,116.260260990476,28.1288383599282,0.066,5
张家-新付,116.25827481453,28.127704859485,0.072,5
张家-流坊,116.255604729193,28.1271450396158,0.105,5
栎坪-塅上,116.252654825537,28.1298445330895,0.0156,5
栎坪-刘仲坊,116.249618421617,28.1329603535373,0.0144,5
栎坪-栎坪,116.247250143276,28.1271687776659,0.4533,5
栎坪-西陈,116.249154361077,28.1225831583898,0.0792,5
栎坪-东陈,116.252038461356,28.1239959581044,0.0408,5
栎坪-庙前,116.252830302634,28.119695413537,0.0534,5
栎坪-下仓,116.251580701298,28.1178562453693,0.0504,5
栎坪-上仓,116.252104262354,28.1157647376657,0.0306,5
许渡-桥湖,116.248513729036,28.1107718173684,0.2412,5
栎坪-二前村徐家,116.247937381228,28.1154941683652,0.018,5
许渡-前周,116.241544500649,28.1159859612947,0.0627,5
许渡-许家渡,116.240474709125,28.1181963518657,0.051,5
许渡-周老君,116.242527756689,28.1207256577923,0.0099,5
许渡-姜饶,116.239104970456,28.1199687959792,0.0051,5
许渡-胡家,116.238280463727,28.1219847834633,0.0528,5
许渡-陈家巷,116.241691550625,28.1259563728307,0.0774,5
湖西-湖西,116.233019541013,28.1292545811657,0.372,5
湖西-蛇湖,116.230793126565,28.139185679968,0.132,5
湖西-洲上,116.231911703405,28.1459347747924,0.051,5
湖西-付家,116.23270968607,28.1408881884365,0.1287,5
湖西-楞上,116.237157583347,28.1369828178316,0.063,5
湖西-鞠家,116.240092104714,28.1341812964835,0.0501,5
河湖-徐家,116.246492957374,28.1387547655685,0.0549,5
河湖-邱家,116.246428292624,28.1393118323598,0.0324,5
河湖-西湖,116.247238636155,28.1412828314465,0.0573,5
河湖-河湖,116.251063011868,28.1421989643366,0.2283,5
胡家-胡家,116.263824034036,28.1357879458463,0.4338,5
张家-张家,116.264555644195,28.1292727205074,0.339,5
罗针-拓湖,116.280018165575,28.1179060281562,0.579,5
罗针-罗针街,116.274556294891,28.1233861180449,0.1521,5
罗针-张泉,116.277136010282,28.1231839100342,0.1158,5
罗针-前东湖,116.281848372463,28.1254380107457,0.1218,5
罗针-后东湖,116.280984519469,28.1276809551678,0.219,5
新徐-吴前城,116.278780655524,28.1313144936216,0.0297,5
新徐-新徐,116.270793021243,28.13623560793,0.0768,5
何栗-何栗,116.255010771047,28.146904766861,0.3714,5
何栗-下姜,116.251889640487,28.1487872865321,0.0543,5
城前-上游,116.247822399126,28.156293247597,0.0531,5
城前-城前,116.246228129339,28.1585185499591,0.786,5
新徐-岭上,116.277148241882,28.1370627680682,0.1521,5
丁湖一-七组,116.282484407415,28.1357525537269,1.0926,5
北保-炉下,116.291996458514,28.1298705827646,0.1647,5
花洲-嵇家,116.323071826879,28.1242064248804,0.0927,5
花洲-付家,116.325356344836,28.1221433630496,0.0771,5
花洲-许家,116.332499627041,28.1320877267889,0.258,5
万年-垱头,116.339782744373,28.1274307508843,0.0999,5
艾巷-钟家,116.339430691358,28.1218224108447,0.1722,5
万年-邓家,116.346439340597,28.1283832459347,0.216,5
科溪-杨铁坑,116.37172622534,28.1433740353043,0.1407,5
科溪-科坑,116.38111409342,28.1450391112089,0.105,5
科溪-上李、骆家、西黄,116.376866369446,28.1413013938312,0,5
龙岗村-六-十组,116.366218693035,28.1370286469019,0.3213,5
龙岗村-一-五组,116.363794945494,28.1337001122904,0.4665,5
艾巷-仓下,116.349671570344,28.1184150653802,0.1902,5
艾巷-周博巷,116.346218117719,28.114748425185,0.1347,5
艾巷-颜家,116.344404417845,28.1150913511812,0.1374,5
艾巷-艾家巷,116.341881066549,28.1139356385277,0.2301,5
艾巷-胡仕,116.339237605922,28.1108464442077,0.0327,5
艾巷-刘家,116.344124025158,28.1086847756633,0.0564,5
支村-港头,116.353795601619,28.1071540795264,0.054,5
邱家-花门楼,116.348445411867,28.1033261067807,0.1485,5
邱家-邱家,116.341148311264,28.1060646896797,0.1245,5
邱家村-过家,116.33863431902,28.1068566085393,0.0354,5
邱家-湖下,116.336074352569,28.1044172997517,0.1017,5
古港-湖山,116.332094212999,28.1047642837282,0.0795,5
古港-北港村,116.328015417902,28.1069314965502,0.0855,5
艾巷-桥头黄,116.333000522883,28.1105174149642,0.0804,5
艾巷-西艾,116.335545259603,28.1139344810955,0.0471,5
艾巷-饶家,116.33451805795,28.1178818542067,0.0228,5
唱凯-詹坊许家,116.330073789548,28.1138865251924,0.0573,5
唱凯-磨下黄家,116.32765115089,28.1128902296289,0.129,5
唱凯-北山熊家,116.321565021507,28.1189905985847,0.2466,5
浒溪-榨上张家,116.292545596263,28.104676734994,0.093,5
浒溪-浒溪万家,116.287915808144,28.1021186357702,0.3618,5
顾家-陈泗巷,116.287055786121,28.1000463717392,0.0486,5
低洲-王家,116.293925233003,28.0959493299548,0.1653,5
低洲-涂家,116.291513363756,28.0904912959053,0.1368,5
顾家-刘达,116.285186477681,28.0857404076306,0.0441,5
顾家-张家,116.280365132455,28.088289614372,0.1329,5
顾家-帅家,116.280570393619,28.0899760601706,0.0987,5
