id,lng,lat,weight,serviceTime
1001,116.5555591,27.8809466,4.2,5
1002,116.54687967,27.89784405,7.2,5
1003,116.55963103,27.87334333,8.1,5
1004,116.55834178,27.86696638,12.9,5
1005,116.55584607,27.8940142,5.7,5
1006,116.54638436,27.89979946,7.8,5
1007,116.54328659,27.90715168,6.3,5
1008,116.53937164,27.90566318,11.1,5
1009,116.53457762,27.90823535,14.4,5
1010,116.5104414,27.90724615,10.2,5
1011,116.50930564,27.90688945,9.6,5
1012,116.53085075,27.91341769,17.4,5
1013,116.52146809,27.90440231,18.0,5
1014,116.51737785,27.91155974,9.0,5
1015,116.5105332,27.90061513,12.6,5
1016,116.51630233,27.90154249,11.1,5
1017,116.51737877,27.89945921,8.4,5
1018,116.52237148,27.91233258,13.8,5
1019,116.50602947,27.91174206,10.8,5
1021,116.51683958,27.91322712,23.4,5
1022,116.47979019,27.90928632,42.3,5
1023,116.47623928,27.90007759,20.4,5
1024,116.49160649,27.91348254,10.2,5
1025,116.49243779,27.91190618,15.3,5
1026,116.47522786,27.89740036,15.3,5
1027,116.50338524,27.90761139,1.2,5
1028,116.48447181,27.90437858,4.5,5
1029,116.47951022,27.90117083,10.5,5
1030,116.49890747,27.9153234,36.0,5
1031,116.48506821,27.89844628,12.3,5
1032,116.50631416,27.89441906,10.8,5
1033,116.51966203,27.87852373,20.7,5
1034,116.51053466,27.88145657,30.6,5
1035,116.50932843,27.8902929,11.1,5
1036,116.50782098,27.8966618,15.0,5
1037,116.51789874,27.88866726,27.9,5
1038,116.51475358,27.88660989,15.6,5
1039,116.50811239,27.88640056,27.0,5
1040,116.47059147,27.87489446,44.4,5
1041,116.48349412,27.89105044,14.1,5
1042,116.47040841,27.87659667,71.4,5
1043,116.47124581,27.88891397,20.4,5
1044,116.47105958,27.88425168,59.1,5
1045,116.47020942,27.86994506,12.6,5
1046,116.45864872,27.87922321,11.4,5
1047,116.47342018,27.89374405,44.4,5
1048,116.43135068,27.88873388,10.5,5
1049,116.43294107,27.88748402,9.6,5
1050,116.44261518,27.8755098,16.5,5
1051,116.45158634,27.88011848,37.8,5
1052,116.43650732,27.90782252,7.8,5
1053,116.44364547,27.89808544,12.6,5
1054,116.45074175,27.90132363,23.4,5
1055,116.45224812,27.8911979,7.2,5
1056,116.44007619,27.90191065,17.4,5
1057,116.45095715,27.89722711,16.8,5
1058,116.44585481,27.89858267,5.7,5
1059,116.43005948,27.91257398,6.9,5
1060,116.46420855,27.90518575,21.9,5
1061,116.47044975,27.89856341,13.5,5
1062,116.4602508,27.88874996,10.5,5
1063,116.46513866,27.89201298,30.6,5
1064,116.45778278,27.89785235,11.6,5
1065,116.46158374,27.90195496,47.4,5
1066,116.46713285,27.89911799,16.8,5
1067,116.46034439,27.89928558,10.0,5
1068,116.46447778,27.90181984,23.4,5
1069,116.46133476,27.91818746,5.1,5
1070,116.44678553,27.91820734,17.1,5
1071,116.45314977,27.91365659,12.0,5
1072,116.455215,27.91081634,32.4,5
1073,116.45602643,27.90823087,2.4,5
1074,116.45641858,27.92466289,14.1,5
1075,116.46063567,27.91974222,5.1,5
1076,116.45951718,27.91609845,12.0,5
1077,116.45504238,27.91760535,38.4,5
1078,116.450525,27.92279176,42.0,5
1079,116.4577631,27.91169283,32.4,5
1080,116.46468136,27.91258358,34.5,5
1081,116.45947471,27.90881574,19.2,5
1082,116.46795678,27.90612518,19.5,5
1083,116.4752055,27.9082588,81.3,5
1084,116.44736717,27.71134626,8.4,5
1085,116.44986013,27.62155208,12.6,5
1086,116.44756961,27.62338202,10.8,5
1087,116.44505712,27.61849264,7.2,5
1088,116.43876457,27.62875673,19.5,5
1089,116.45553995,27.60334792,9.3,5
1090,116.46501071,27.6421498,15.6,5
1091,116.45098675,27.63908117,13.5,5
1092,116.44250505,27.63222321,12.9,5
1093,116.40121329,27.73636388,8.1,5
1094,116.39726488,27.74274653,8.1,5
1095,116.41310448,27.73632845,26.1,5
1096,116.40340252,27.73123513,13.5,5
1097,116.41087298,27.71949675,5.4,5
1098,116.40781464,27.72671435,29.1,5
1099,116.37728266,27.68941194,16.5,5
