zy_formatted_village2.txt

VEHICLE
3
NUMBER CAPACITY FIXEDCOST UNITCOST MAXSERVICE MAXDISTANCE TYPENAME
2 5000 0 0.000735 110 300 全顺
11 4000 0 0.00084 110 300 金杯
2 8000 0 0.00091 110 300 江铃

CUSTOMER
CUST NO. XCOORD. YCOORD. DEMAND READY TIME DUE TIME SERVICE TIME

0 117.273733 31.787423 0 0 99999 3
0613401037607 117.639640 32.109180 10 0 600 3
0613401036862 117.609800 32.209890 102 0 600 3
0613401037016 117.523333 31.995454 10 0 600 3
0613401034298 117.525760 32.193174 30 0 600 3
0613401034309 117.429535 32.093400 10 0 600 3
0613401034310 117.382470 32.068370 15 0 600 3
0613401034560 117.783710 32.108970 5 0 600 3
0613401034388 117.759575 32.205400 35 0 600 3
0613401037017 117.430770 32.147465 65 0 600 3
0613401037019 117.591805 32.013080 10 0 600 3
0613401034542 117.592400 32.150158 30 0 600 3
0613401015224 117.374690 32.182380 10 0 600 3
0613401015483 117.859600 32.151585 20 0 600 3
0613401037516 117.459000 32.204556 15 0 600 3
0613401037610 117.548100 32.076860 15 0 600 3
0613401034447 117.760600 32.204690 70 0 600 3
0613401015515 117.759760 32.205360 25 0 600 3
0613401015590 117.443450 32.124890 15 0 600 3
0613401015631 117.390945 32.127266 10 0 600 3
0613401034485 117.374610 32.207413 35 0 600 3
0613401034486 117.379105 32.063007 55 0 600 3
0613401032047 117.637610 32.184890 25 0 600 3
0613401015970 117.679048 32.221058 30 0 600 3
0613401016003 117.613270 32.012646 45 0 600 3
0613401034540 117.385376 32.074535 50 0 600 3
0613401034554 117.844350 32.139256 10 0 600 3
0613401034556 117.527830 32.123814 89 0 600 3
0613401034582 117.609240 32.152840 30 0 600 3
0613401048240 117.451580 32.092500 10 0 600 3
0613401037113 117.573410 32.001377 15 0 600 3
0613401037115 117.635080 32.007008 10 0 600 3
0613401037032 117.445250 32.103220 15 0 600 3
0613401034774 117.638770 32.109013 50 0 600 3
0613401037043 117.704230 32.019398 35 0 600 3
0613401048242 117.471650 32.067715 25 0 600 3
0613401034792 117.502500 32.013012 15 0 600 3
0613401036968 117.430720 32.147470 50 0 600 3
0613401037517 117.677700 32.138070 25 0 600 3
0613401034906 117.780430 32.102850 30 0 600 3
0613401034960 117.583040 32.238953 10 0 600 3
0613401034962 117.700990 32.062794 40 0 600 3
0613401029733 117.664850 32.026295 35 0 600 3
0613401035337 117.387405 32.229810 15 0 600 3
0613401035094 117.505100 31.993310 5 0 600 3
0613401028848 117.532500 32.121500 10 0 600 3
0613401028849 117.519010 32.083170 20 0 600 3
0613401049011 117.665460 32.027935 35 0 600 3
0613401035505 117.610020 32.214700 70 0 600 3
0613401037518 117.565210 32.119514 15 0 600 3
0613401037068 117.576510 32.042576 25 0 600 3
0613401037070 117.665987 32.029419 5 0 600 3
0613401037072 117.611100 31.998026 30 0 600 3
0613401048247 117.759575 32.205400 30 0 600 3
0613401035338 117.442620 32.101750 40 0 600 3
0613401028898 117.387100 32.190650 30 0 600 3
0613401037076 117.578300 32.058390 5 0 600 3
0613401037077 117.826370 32.145313 40 0 600 3
0613401037078 117.826110 32.144608 34 0 600 3
0613401037091 117.471504 32.028885 15 0 600 3
0613401048250 117.601340 32.002610 20 0 600 3
0613401049007 117.619400 32.209440 25 0 600 3
0613401035511 117.570790 32.239680 10 0 600 3
0613401037124 117.386955 32.190740 50 0 600 3
0613401037125 117.458320 32.201420 60 0 600 3
0613401035600 117.383540 32.071990 20 0 600 3
0613401035601 117.390945 32.127266 10 0 600 3
0613401029756 117.729280 32.130703 45 0 600 3
0613401036174 117.379105 32.063007 54 0 600 3
0613401036175 117.379800 32.065636 30 0 600 3
0613401036176 117.498830 32.206055 20 0 600 3
0613401035919 117.818900 32.146340 40 0 600 3
0613401044178 117.436990 32.137875 10 0 600 3
0613401044179 117.421140 32.247130 20 0 600 3
0613401017805 117.735910 32.152767 35 0 600 3
0613401037362 117.481430 31.961664 50 0 600 3
0613401031970 117.678375 32.140583 79 0 600 3
0613401011883 117.719785 32.215827 55 0 600 3
0613401012027 117.386310 32.093660 50 0 600 3
0613401012362 117.733840 32.069065 10 0 600 3
0613401012462 117.424330 32.148815 89 0 600 3
0613401012514 117.471650 32.067715 25 0 600 3
0613401037476 117.419304 32.237236 25 0 600 3
0613401036506 117.679886 32.137310 15 0 600 3
0613401037485 117.504870 32.012875 15 0 600 3
0613401012906 117.481430 31.961664 69 0 600 3
0613401037487 117.627580 31.989462 25 0 600 3
0613401037488 117.628716 31.988758 20 0 600 3
0613401037489 117.681770 32.028156 10 0 600 3
0613401037493 117.701420 32.061592 80 0 600 3
0613401037495 117.701380 32.061670 45 0 600 3
0613401036594 117.391520 32.186690 40 0 600 3
0613401037499 117.750840 32.089638 20 0 600 3
0613401037500 117.781030 32.112137 30 0 600 3
0613401037501 117.826280 32.203773 20 0 600 3
0613401037506 117.731400 32.060490 20 0 600 3
0613401037510 117.825000 32.149770 20 0 600 3
0613401037511 117.729280 32.130703 50 0 600 3
0613401013210 117.640656 32.109455 113 0 600 3
0613401037515 117.544100 32.075817 25 0 600 3
0613401011856 117.609840 32.209892 40 0 600 3
0613401011859 117.639520 32.208730 5 0 600 3
0613401011862 117.660927 32.211792 114 0 600 3
0613401011863 117.661729 32.211793 40 0 600 3
0613401011864 117.663432 32.211913 40 0 600 3
0613401011865 117.662397 32.210945 25 0 600 3
0613401037521 117.610740 32.152250 47 0 600 3
0613401011867 117.665119 32.211933 50 0 600 3
0613401037522 117.528656 32.190468 45 0 600 3
0613401011873 117.662397 32.210945 15 0 600 3
0613401011875 117.662413 32.211828 60 0 600 3
0613401037523 117.566650 32.109196 19 0 600 3
0613401011885 117.722972 32.216181 40 0 600 3
0613401011887 117.720886 32.217295 15 0 600 3
0613401037524 117.610020 32.214700 25 0 600 3
0613401011890 117.723139 32.215648 65 0 600 3
0613401011891 117.722989 32.217047 45 0 600 3
0613401037525 117.553980 32.135650 5 0 600 3
0613401011900 117.759575 32.205400 85 0 600 3
